TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,..,..,..,..,..,..,..,..,..,..,..,27205,28339,32202,36241,37948,40529,44737,47999,51066,55757,60570,63176,65495,66589,70193,75352,79988,85990,91804,98309,103187,104425,107273,110840,118901,127328,133124,140087,145372,150264,147758,174006,191617,196333,196103,198385,211835,214250,220180,219960,221231,219496,226796,227916,241654,242392,248551,252468,..
Austria,5558,5987,6649,7265,7952,8539,9097,9518,10238,11574,12629,13576,15170,16369,17122,17910,19350,20488,21848,22925,24217,18648,20880,21989,27677,29315,30100,26752,28796,31154,32695,34830,33793,35233,35716,35356,41360,43186,44226,45558,41710,41854,40777,42019,38473,45266,45446,44488,48111,41544,42533,42111,43220,43215,44124,44188,41548,43973,44114,..
Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16733,13223,10933,14260,12524,10955,5972,5954,6167,9212,8906,5688,3301,1879,5292,6469,4014,11963,13176,12060,12640,14166,16038,17384,17791,18479,16639,17697,21193,..
Bahrain,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,2502,2725,2822,2725,2909,3010,2970,2200,2934,3510,3834,4252,4468,4507,4968,5360,5537,6145,6156,7337,7405,7603,9299,11005,11426,12575,16992,16283,16384,17478,19872,22108,21524,19483,21899,..
Bangladesh,..,..,..,..,..,..,..,..,..,..,..,18,18,18,14,22,29,32,40,47,781,1235,1091,1001,1192,1386,2084,1973,2221,2862,1933,2052,2560,2578,2542,2729,2894,2981,3301,3647,3737,4226,4586,4914,5422,5774,6307,6372,5987,7164,10631,8867,9590,9918,11520,13352,15682,18120,19752,..
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22956,24793,22933,22783,22840,21572,22004,20162,20472,20772,19888,19941,20324,20373,20539,21229,22123,22716,22864,24458,25567,25726,27774,28462,29095,28206,28796,28789,29700,..
Belgium,4331,4666,5119,5396,6426,6638,7139,7729,8748,9508,10692,11966,13435,12100,12827,13910,15160,16153,17629,18418,19177,19552,19760,20534,21056,21773,22774,24124,25348,26741,28073,29743,31756,34542,36349,36972,39136,39557,41641,42257,44050,46048,42689,42862,42941,45731,61733,65329,74988,77314,79855,77951,79034,80143,76762,78009,78507,78362,79372,..
Benin,..,..,..,..,..,..,..,..,..,..,..,4,4,25,25,25,29,29,29,14,14,18,11,22,22,14,14,14,18,18,18,18,18,22,22,25,292,378,400,356,486,634,562,677,774,680,770,860,1019,1152,1235,1267,1278,1433,1418,1534,1616,1783,1732,..
Plurinational State of Bolivia,..,..,..,..,..,..,..,..,..,..,..,299,324,342,382,421,461,472,526,590,637,691,695,655,695,756,792,954,1066,1076,1138,1307,1418,1562,1750,1951,2120,2351,2592,2772,2880,2920,3078,3143,3251,3470,3690,3834,4025,4277,4709,5123,5353,5749,6293,6822,7229,7541,7918,..
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3838,4352,2225,1364,1663,1735,2232,2682,3136,3251,3604,3676,3722,3978,4151,4536,4525,4518,0,0,0,0,0,0,6980,6487,7690,7826,8219,..
