TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
World aviation bunkers,..,..,..,..,..,..,..,..,..,..,..,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..
Albania,..,..,..,..,..,..,..,..,..,..,..,2.81,3.06,3.40,3.33,3.52,3.77,4.02,4.28,4.53,4.65,4.92,5.06,5.12,5.06,5.15,5.44,5.39,5.32,5.84,5.28,3.80,3.53,3.87,4.19,4.74,5.18,4.61,5.02,5.66,6.06,6.56,6.86,7.24,7.64,8.06,8.53,9.04,9.72,10.05,10.42,10.69,10.84,10.95,11.14,11.39,11.76,12.21,12.72,..
Algeria,..,..,..,..,..,..,..,..,..,..,..,30.38,38.71,40.19,43.20,45.38,49.18,51.77,56.54,60.77,61.25,63.09,67.12,70.75,74.71,77.47,77.78,77.24,76.47,79.83,80.47,79.51,80.94,79.24,78.52,81.51,84.85,85.78,90.16,93.04,96.58,99.48,105.05,112.61,117.45,124.38,126.50,130.80,133.94,136.08,140.98,145.07,150.00,154.20,160.06,165.98,171.29,173.52,175.95,..
Angola,..,..,..,..,..,..,..,..,..,..,..,29.14,29.57,31.59,30.01,29.40,26.38,27.00,28.15,28.79,29.48,28.19,28.19,29.37,31.13,32.22,33.16,34.51,36.63,36.64,35.38,35.73,33.64,25.57,25.92,29.80,33.84,36.30,38.00,38.83,40.02,41.70,47.40,48.82,54.17,62.31,69.50,79.24,88.09,88.84,93.16,96.39,104.63,109.81,115.11,116.19,113.20,113.03,110.62,..
Argentina,..,..,..,..,..,..,..,..,..,..,..,233.22,237.02,243.69,257.17,257.10,251.91,269.38,257.24,283.54,287.84,272.90,270.90,282.68,287.12,272.22,288.97,296.79,293.55,272.54,265.82,290.10,313.12,338.82,358.59,348.39,367.64,397.46,412.77,398.79,395.65,378.20,337.00,366.78,399.90,435.30,470.33,512.69,533.49,501.92,552.74,585.92,579.91,593.86,578.94,594.75,582.38,597.92,583.08,..
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.85,5.16,3.00,2.74,2.89,3.09,3.27,3.38,3.62,3.74,3.96,4.34,4.91,5.60,6.19,7.05,7.98,9.08,9.70,8.33,8.51,8.91,9.56,9.87,10.23,10.55,10.57,11.37,11.96,..
Australia,188.88,191.33,203.22,217.40,230.41,235.90,250.76,263.54,282.11,302.34,314.44,326.75,335.29,349.04,353.76,362.91,375.97,379.34,394.68,406.65,420.23,434.21,424.57,444.02,467.33,486.20,498.61,527.23,547.61,567.16,564.91,567.24,590.10,613.60,637.14,661.85,688.10,719.59,756.10,785.84,801.01,833.07,857.94,892.73,921.34,947.09,983.50,1019.47,1039.22,1060.70,1086.83,1129.41,1158.60,1187.95,1214.00,1247.63,1277.17,1314.73,1339.67,1363.64
Austria,85.32,89.85,92.00,95.76,101.54,104.44,110.33,113.65,118.73,126.19,135.17,142.09,150.91,158.28,164.52,163.93,171.43,180.14,179.76,189.39,192.67,192.39,196.26,202.09,202.20,207.25,212.02,214.90,221.98,230.61,240.63,248.91,254.12,255.46,261.60,268.58,274.89,280.64,290.69,301.03,311.19,315.14,320.34,323.36,332.20,339.66,351.39,364.49,369.81,355.89,362.42,373.02,375.56,375.65,378.14,381.97,389.93,399.58,409.25,415.85
Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.57,20.42,15.81,12.16,9.76,8.61,8.72,9.23,10.15,10.90,12.11,13.31,14.57,16.05,17.54,22.44,30.18,37.86,41.87,45.79,47.99,47.23,48.27,51.09,52.52,53.07,51.45,51.30,52.03,..
Bahrain,..,..,..,..,..,..,..,..,..,..,..,2.55,2.60,2.52,4.31,4.73,5.85,6.71,7.25,7.17,7.71,7.30,6.75,7.18,7.54,7.18,7.27,8.02,8.58,8.61,9.00,10.01,10.67,12.05,12.02,12.49,13.00,13.41,14.05,14.65,15.43,15.81,16.34,17.37,18.58,19.84,21.13,22.88,24.31,24.92,26.00,26.52,27.51,29.00,30.26,31.13,32.21,33.43,34.03,..
Bangladesh,..,..,..,..,..,..,..,..,..,..,..,31.09,26.75,27.64,30.29,29.05,30.69,31.52,33.74,35.37,35.65,38.23,39.05,40.57,42.51,43.93,45.77,47.49,48.64,50.02,52.83,54.68,57.65,60.37,62.72,65.93,68.91,72.00,75.73,79.27,83.46,87.70,91.06,95.38,100.38,106.94,114.07,122.12,129.47,136.00,143.58,152.86,162.83,172.62,183.08,195.08,208.96,224.18,241.81,..
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.45,29.10,26.31,24.31,21.46,19.23,19.77,22.02,23.87,24.68,26.12,27.35,28.73,30.75,34.27,37.50,41.25,44.79,49.36,49.46,53.32,56.19,57.13,57.71,58.70,56.46,55.03,56.42,58.14,..
Belgium,108.19,113.56,119.47,124.66,133.31,136.38,140.68,146.12,152.25,162.35,172.66,179.14,188.55,200.10,208.50,205.74,217.37,218.73,224.94,230.21,240.52,239.85,241.28,242.03,248.00,252.09,256.69,262.61,275.01,284.55,293.48,298.86,303.44,300.52,310.21,317.61,321.81,334.02,340.57,352.64,365.74,369.76,376.08,379.98,393.55,402.69,412.96,428.15,430.06,421.37,433.44,440.79,444.04,446.08,453.13,462.34,469.17,478.10,485.22,492.03
Benin,..,..,..,..,..,..,..,..,..,..,..,1.58,1.68,1.74,1.80,1.71,1.73,1.82,1.84,1.96,2.09,2.30,2.35,2.25,2.43,2.61,2.67,2.63,2.72,2.64,2.87,3.00,3.08,3.26,3.33,3.53,3.68,3.90,4.05,4.27,4.52,4.76,4.98,5.15,5.38,5.47,5.69,6.03,6.32,6.47,6.60,6.80,7.13,7.64,8.12,8.29,8.62,9.13,9.75,..
Plurinational State of Bolivia,..,..,..,..,..,..,..,..,..,..,..,8.48,9.15,9.68,9.96,10.69,11.19,11.74,11.98,12.00,11.83,11.87,11.40,10.94,10.92,10.73,10.46,10.71,11.03,11.44,11.97,12.61,12.81,13.36,13.98,14.64,15.28,16.03,16.84,16.91,17.34,17.63,18.07,18.56,19.33,20.18,21.15,22.12,23.48,24.27,25.27,26.58,27.94,29.84,31.47,33.00,34.41,35.85,37.37,..
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.00,2.56,2.38,2.33,2.44,2.94,5.56,7.48,8.64,9.47,9.99,10.43,10.99,11.43,12.12,13.18,13.90,14.71,15.51,15.04,15.16,15.30,15.19,15.55,15.73,16.21,16.72,17.08,17.70,..
Botswana,..,..,..,..,..,..,..,..,..,..,..,0.53,0.66,0.81,0.88,0.95,1.05,1.18,1.35,1.51,1.69,1.84,2.07,2.34,2.54,2.72,2.94,3.29,3.94,4.45,4.75,5.11,5.25,5.35,5.55,5.94,6.29,6.81,6.84,7.50,7.65,7.67,8.13,8.51,8.74,9.14,9.90,10.72,11.39,10.52,11.42,12.11,12.65,14.09,14.67,14.42,15.04,15.48,16.17,..
Brazil,..,..,..,..,..,..,..,..,..,..,..,383.97,430.25,490.39,534.73,562.59,617.67,646.12,667.00,712.13,777.01,742.88,747.19,721.71,759.74,820.11,885.62,917.50,916.56,946.61,917.25,931.11,926.77,970.00,1021.75,1066.88,1090.43,1127.45,1131.26,1136.55,1186.42,1202.91,1239.64,1253.78,1326.00,1368.46,1422.68,1509.04,1585.91,1583.91,1703.15,1770.84,1804.87,1859.10,1868.47,1802.21,1742.65,1761.18,1780.87,..
Brunei Darussalam,..,..,..,..,..,..,..,..,..,..,..,5.50,5.94,6.41,6.71,6.73,8.09,8.97,9.58,11.74,10.92,8.76,9.10,9.15,9.20,9.07,8.82,9.00,9.10,9.00,9.10,9.38,9.83,9.86,10.17,10.62,10.93,10.77,10.71,11.04,11.35,11.66,12.11,12.47,12.53,12.58,13.13,13.15,12.90,12.67,13.00,13.48,13.61,13.32,13.00,12.93,12.61,12.78,12.79,..
Bulgaria,..,..,..,..,..,..,..,..,..,..,..,14.28,15.41,16.64,17.90,19.48,20.77,22.05,23.29,24.83,26.25,27.54,28.18,29.15,30.14,30.94,32.25,34.20,37.94,36.69,33.35,30.53,28.31,27.89,28.40,29.21,29.42,29.10,30.94,28.34,29.69,30.81,32.64,34.33,36.53,39.14,41.83,44.90,47.60,45.90,46.50,47.39,47.41,47.64,48.52,50.20,52.18,54.17,55.84,..
Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.14,4.38,4.55,4.77,5.37,5.95,6.39,6.81,7.39,8.16,9.24,10.23,11.28,12.03,12.04,12.76,13.66,14.66,15.74,16.86,18.05,19.32,20.67,22.22,..
Cameroon,..,..,..,..,..,..,..,..,..,..,..,5.78,5.94,6.25,6.93,7.70,7.28,8.28,10.10,10.71,10.50,12.30,13.22,14.13,15.18,16.41,17.52,17.14,15.80,15.51,14.57,14.01,13.58,12.50,12.77,13.21,13.79,14.51,15.16,15.81,16.37,17.09,17.81,18.62,19.89,20.29,20.99,22.02,22.79,23.29,24.09,25.08,26.22,27.64,29.26,30.92,32.35,33.50,34.86,..
Canada,277.16,285.87,307.10,323.53,345.02,366.82,391.41,403.51,423.67,445.04,458.22,476.41,502.66,537.02,554.63,562.74,595.82,616.31,639.01,662.72,677.01,700.53,678.20,695.84,736.96,771.87,788.42,820.54,856.72,876.57,878.02,859.70,867.44,890.52,930.55,955.61,971.09,1012.65,1052.10,1106.42,1163.71,1184.54,1220.29,1242.27,1280.62,1321.66,1356.47,1384.58,1398.48,1357.56,1399.51,1443.54,1468.96,1503.17,1546.32,1556.51,1572.10,1621.94,1654.60,1682.00
Chile,..,..,..,..,..,..,..,..,..,..,..,39.53,39.21,37.27,38.20,33.86,35.01,38.06,40.90,44.45,48.07,50.35,45.15,43.44,46.90,50.24,53.06,56.55,60.69,67.10,69.58,75.12,84.35,90.24,95.39,105.53,113.35,121.77,127.04,126.51,133.25,137.66,141.93,147.74,158.39,167.49,178.07,186.80,193.39,190.37,201.49,213.81,225.18,234.29,238.43,243.92,248.09,251.04,260.96,263.71
People's Republic of China,..,..,..,..,..,..,..,..,..,..,..,248.45,257.91,277.93,284.35,309.14,304.29,327.32,363.77,391.41,421.97,443.79,483.44,535.83,616.95,699.89,762.45,851.58,947.25,986.90,1025.46,1120.76,1280.09,1457.61,1647.86,1828.29,2009.80,2195.32,2367.39,2548.90,2765.34,2995.97,3269.52,3597.64,3961.41,4412.84,4974.13,5682.02,6230.57,6816.24,7541.22,8261.48,8910.80,9603.04,10304.02,11015.54,11757.62,12552.09,13376.38,..
Colombia,..,..,..,..,..,..,..,..,..,..,..,53.39,57.49,61.35,64.88,66.38,69.52,72.41,78.55,82.77,86.16,88.12,88.95,90.35,93.38,96.28,101.89,107.36,111.72,115.54,120.48,122.90,127.87,134.75,142.59,150.01,153.09,158.34,159.24,152.55,157.01,159.65,163.64,170.06,179.12,187.56,200.27,213.99,220.96,223.62,233.34,250.52,260.30,272.19,285.06,293.48,299.61,303.66,311.46,..
Republic of the Congo,..,..,..,..,..,..,..,..,..,..,..,1.40,1.52,1.65,1.78,1.92,1.94,1.76,1.87,2.06,2.42,2.85,3.52,3.73,3.99,3.94,3.67,3.67,3.74,3.84,3.88,3.97,4.07,4.03,3.81,3.96,4.13,4.11,4.26,4.15,4.46,4.63,4.85,4.89,5.06,5.45,5.79,5.70,6.01,6.46,7.03,7.27,7.54,7.80,8.33,8.55,8.31,8.06,8.14,..
Costa Rica,..,..,..,..,..,..,..,..,..,..,..,9.08,9.82,10.58,11.16,11.40,12.03,13.10,13.92,14.61,14.72,14.38,13.33,13.72,14.82,14.92,15.75,16.50,17.07,18.03,18.67,19.10,20.85,22.33,23.33,24.30,24.60,25.97,27.77,28.87,29.98,31.02,32.04,33.41,34.85,36.20,38.82,42.00,43.95,43.52,45.68,47.64,49.93,51.06,52.86,54.78,57.10,59.04,60.60,..
Côte d'Ivoire,..,..,..,..,..,..,..,..,..,..,..,10.56,11.01,11.66,12.17,13.17,14.87,15.96,17.70,18.12,16.14,16.70,16.74,16.08,15.65,16.35,16.89,16.83,17.02,17.52,17.33,17.34,17.29,17.26,17.40,18.64,20.08,20.83,21.86,22.21,21.75,21.78,21.42,21.13,21.39,21.75,22.08,22.47,23.05,23.80,24.28,23.21,25.70,27.98,30.44,33.13,35.77,38.53,41.39,..
Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40.20,34.30,31.82,29.27,31.00,33.05,34.98,37.34,38.09,37.78,39.02,40.33,42.39,44.78,46.64,48.65,51.09,53.78,54.72,50.70,49.94,49.78,48.67,48.40,48.35,49.53,51.26,52.87,54.26,..
Cuba,..,..,..,..,..,..,..,..,..,..,..,25.11,26.32,27.22,27.49,30.09,31.73,34.49,36.77,37.17,35.36,42.33,46.10,48.60,52.45,53.29,53.34,52.06,53.99,54.35,52.75,47.11,41.65,35.46,35.71,36.59,39.46,40.55,40.62,43.13,45.68,47.14,47.81,49.62,52.49,58.37,65.41,70.16,73.05,74.11,75.88,78.01,80.36,82.57,83.43,87.13,87.58,89.17,91.17,..
Curaçao/Netherlands Antilles,..,..,..,..,..,..,..,..,..,..,..,1.06,1.08,1.15,1.19,1.20,1.25,1.28,1.31,1.33,1.38,1.37,1.35,1.38,1.42,1.45,1.50,1.52,1.58,1.65,1.72,1.76,1.79,1.81,1.86,1.92,1.99,2.07,2.15,2.25,2.34,2.39,2.39,2.40,2.45,2.50,2.59,2.69,2.74,2.63,2.68,2.71,1.83,1.85,1.88,1.86,1.84,1.84,1.84,..
Cyprus,..,..,..,..,..,..,..,..,..,..,..,2.61,2.87,3.10,2.90,3.09,3.72,4.32,4.66,5.12,5.42,5.55,5.89,6.21,6.76,7.09,7.35,7.87,8.55,9.23,9.91,9.99,10.93,11.00,11.65,12.63,12.78,13.12,13.92,14.62,15.49,16.10,16.70,17.14,18.00,18.88,19.77,20.77,21.53,21.10,21.52,21.61,20.86,19.50,19.13,19.78,21.11,22.03,22.93,..
Czech Republic,..,..,..,..,..,..,..,..,..,..,..,83.01,85.99,88.87,91.99,94.70,96.77,100.46,102.06,102.93,105.41,104.78,106.53,107.80,110.04,110.71,113.01,113.65,115.98,121.24,119.77,105.86,105.32,105.38,108.45,115.20,120.06,119.35,118.96,120.66,125.81,129.47,131.61,136.35,143.04,152.38,162.83,171.95,176.56,168.08,171.90,174.96,173.56,172.72,177.41,186.83,191.41,199.74,205.42,210.70
Democratic People's Republic of Korea,..,..,..,..,..,..,..,..,..,..,..,8.82,10.01,11.20,12.39,13.82,15.49,17.39,19.54,21.68,23.83,26.21,28.83,31.69,34.78,38.12,39.55,42.17,44.55,47.17,45.43,43.07,39.79,38.08,37.40,35.68,34.36,32.02,31.67,31.67,31.67,30.72,30.72,30.72,30.72,30.72,31.27,30.93,30.22,31.33,28.51,27.09,27.75,28.03,28.31,28.59,28.88,29.17,29.46,..
Democratic Republic of the Congo,..,..,..,..,..,..,..,..,..,..,..,27.38,27.42,29.65,30.58,29.06,27.52,27.72,26.24,26.36,26.93,27.57,27.44,27.83,29.37,29.51,30.90,31.73,31.88,31.47,29.41,26.93,24.10,20.86,20.04,20.18,19.98,18.85,18.55,17.76,16.53,16.18,16.66,17.59,18.77,19.92,20.98,22.30,23.69,24.36,26.09,27.89,29.86,32.40,35.47,37.92,38.83,40.28,42.59,..
Denmark,82.93,88.22,93.21,93.81,102.50,107.17,110.11,116.20,122.65,130.64,132.72,136.71,142.08,147.90,146.24,144.11,152.64,155.50,158.96,165.11,164.31,163.22,169.23,173.63,180.86,188.10,197.33,197.83,197.80,199.08,202.01,204.83,208.84,208.86,220.00,226.66,233.23,240.84,246.18,253.44,262.93,265.10,266.33,267.37,274.51,280.92,291.91,294.57,293.06,278.68,283.89,287.69,288.34,291.03,295.75,302.67,312.50,318.86,326.49,334.21
Dominican Republic,..,..,..,..,..,..,..,..,..,..,..,8.81,9.72,10.98,11.64,12.24,13.06,13.71,14.01,14.64,15.81,16.48,16.76,17.54,17.76,17.38,18.00,19.82,20.24,21.13,19.98,20.17,22.43,24.09,24.71,26.12,27.68,30.14,32.16,34.07,35.66,36.54,38.18,37.67,38.63,42.28,46.15,49.58,51.17,51.65,55.96,57.71,59.28,62.17,66.56,71.17,75.90,79.45,84.99,..
Ecuador,..,..,..,..,..,..,..,..,..,..,..,18.44,19.37,22.07,24.54,27.23,29.25,29.72,31.41,32.59,33.79,35.69,35.91,35.79,36.73,38.17,39.50,39.39,41.71,42.13,43.68,45.56,46.52,47.44,49.46,50.57,51.45,53.68,55.43,52.80,53.38,55.52,57.80,59.37,64.25,67.65,70.62,72.17,76.76,77.19,79.92,86.20,91.07,95.57,99.19,99.29,98.07,100.40,101.78,..
Egypt,..,..,..,..,..,..,..,..,..,..,..,34.90,35.97,37.23,37.81,41.19,46.66,50.86,55.25,57.76,63.55,68.22,74.98,78.80,86.47,91.48,95.82,99.50,104.93,110.09,116.33,117.64,122.90,126.47,131.49,137.60,144.46,152.40,160.89,170.63,181.50,187.92,192.41,198.55,206.68,215.92,230.70,247.05,264.73,277.10,291.36,296.51,303.11,309.73,318.76,332.70,347.16,361.68,380.90,..
El Salvador,..,..,..,..,..,..,..,..,..,..,..,10.89,11.56,12.12,12.77,13.14,13.80,14.74,15.53,14.88,13.13,11.75,11.01,11.18,11.33,11.40,11.42,11.71,11.93,12.04,12.63,12.81,13.71,14.51,15.19,15.91,16.04,16.54,16.98,17.35,17.55,17.70,17.98,18.26,18.42,18.92,19.74,20.11,20.63,20.20,20.62,21.41,22.01,22.50,22.89,23.44,24.03,24.58,25.20,..
