TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Austria,3388,3424,3715,3928,4039,4183,4356,4518,4824,5008,5396,5720,5987,6307,6404,6282,6822,6851,7243,7898,8197,7783,7873,8035,8460,8798,8924,13068,13086,13093,9972,11383,11675,11660,11660,11574,11718,11848,12024,11988,12463,12197,11776,12395,12625,12321,12656,12525,12471,11862,11566,11255,11032,11184,11033,11361,11544,11739,11783,..
Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2905,4820,3319,3445,2682,2387,2718,2743,2556,2275,1933,1984,1811,2365,1843,2113,2340,2095,2077,1876,1962,1962,1883,1912,1930,1735,1541,1430,1383,..
Bahrain,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Bangladesh,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10634,9896,8194,6998,7574,6268,6307,5875,5778,5929,6624,6750,7711,7632,7412,7222,6952,6275,6163,5504,5807,5285,5047,4694,4608,4417,4252,4403,4720,..
Belgium,2207,2250,2336,2473,2520,2531,2502,2484,2542,2545,2668,2772,2815,2941,3067,2981,2995,3128,3265,3420,3474,3611,3683,3694,3996,4277,4262,4460,4414,4507,4496,4594,4698,4896,4982,5270,4601,4550,4928,5054,5195,5281,5242,5378,5429,6102,5789,6030,6203,6343,6250,5872,5692,6070,5642,5716,5849,5873,5964,..
Benin,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Plurinational State of Bolivia,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,353,490,500,385,302,288,328,263,274,212,..
Botswana,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Brazil,..,..,..,..,..,..,..,..,..,..,..,2228,2203,2164,2189,2264,2452,2444,2430,2635,2963,3164,3596,3812,4003,4126,4169,4252,4320,4655,4298,3892,4291,4320,4234,4360,4140,4104,4212,4248,4500,4320,3384,3528,3740,4277,5263,5670,5785,5728,5983,9173,10015,9346,10058,9965,9130,9399,10228,11245
Brunei Darussalam,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Bulgaria,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,3715,0,0,0,4849,4748,4824,5188,5357,4741,4698,4342,3744,2614,2290,2891,2920,2232,1987,2171,1868,1800,1760,1656,1793,1800,1678,1624,1530,1681,1436,1321,1087,997,1102,1267,1274,1359,1165,..
