TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,21759,21330,23031,23031,31122,32823,34953,34524,36654,36439,38570,39549,39632,47685,36214,36901,37517,38659,40603,42127,44201,45827,50176,46661,52074,51158,50653,52973,51956,54784,54470,55209,56170,57298,59329,60764,60963,63187,64554,66146,67242,67567,74449,93249,93119,96719,90812,89817,90611,89579,91744,90590,92480,93506,93863,99125,101579,109342,110550,..
Austria,1159,1270,1357,1479,1627,1778,1843,1954,2152,2296,2710,2804,3140,3264,3180,3389,3590,3766,3984,4146,37972,36364,35389,32918,35038,33851,47565,49181,71220,64425,24396,24633,23888,22809,21457,22544,23487,23517,23227,22732,21969,22605,21971,22540,22837,21962,21817,21468,21744,21420,22288,21648,21968,22920,22074,22695,22931,23215,22189,..
Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,70056,55899,51863,35472,33108,28977,24356,20547,7889,5546,8455,7104,7631,6316,7208,10508,4369,10800,13018,16267,16906,17768,18786,19413,19153,18558,17842,18342,20207,..
Bahrain,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,61,65,68,65,68,72,90,54,72,86,97,101,104,112,137,126,122,122,130,122,133,148,155,155,151,158,176,173,162,187,173,205,220,212,220,..
Bangladesh,..,..,..,..,..,..,..,..,..,..,..,469,469,563,2100,2345,2497,2598,2576,3575,4157,3557,4596,5354,4932,6837,9009,10882,9204,14778,11138,12448,14352,14360,14348,17078,18687,19844,20629,22481,19886,26610,27541,27105,31266,35105,35757,35725,37508,37582,38904,51370,51800,47817,48895,40682,43689,42144,50236,..
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,93920,97028,92233,83919,60766,52969,50285,48694,46565,40857,44794,41050,39224,39100,39926,42480,45406,46900,51401,44020,44451,46281,46770,45374,44414,41883,42428,46880,48245,..
Belgium,6455,6626,8877,9280,12390,13373,13488,14117,16533,18466,17939,17517,18083,18868,16682,16736,16694,21548,23811,27494,21191,18318,18162,16712,15255,15164,18855,18258,23960,23078,20890,23263,30250,33161,41625,46556,52034,45199,40446,37320,33199,31832,26609,34549,34183,34112,37225,35054,36594,35349,31731,28660,29011,34285,29627,30009,32217,32986,33148,..
Benin,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,458,585,836,..
Plurinational State of Bolivia,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,173,649,563,1472,1386,1429,1212,1083,1083,1169,779,1516,1480,433,524,567,303,307,307,354,8235,9588,9973,10786,11731,12738,4727,5509,6286,6427,7054,7033,7451,7852,7939,8090,8270,8537,8649,..
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,241,320,365,333,560,544,686,757,785,1761,..
Botswana,..,..,..,..,..,..,..,..,..,..,..,43,43,87,87,87,94,97,97,141,188,303,303,260,346,346,433,346,346,434,434,391,477,477,477,477,477,477,477,704,776,1184,1310,1375,785,727,994,739,847,1095,1174,1127,1203,1160,1239,1199,1246,1239,1272,..
Brazil,..,..,..,..,..,..,..,..,..,..,..,222738,223591,227939,225175,224027,227318,230350,225032,233071,240911,238813,240423,247342,240233,253720,249178,267478,270584,273555,252387,257453,254303,269363,278560,295218,305142,315222,305999,315571,306587,323598,327156,341275,348799,351203,357956,379416,414686,395799,415069,417470,432562,443892,467892,479246,470463,514260,516624,531027
Brunei Darussalam,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Bulgaria,..,..,..,..,..,..,..,..,..,..,..,3763,4160,4400,6385,6535,8200,10023,12347,11768,10292,10274,10378,10907,10462,10227,10452,10603,32791,38026,32844,28625,20734,17032,18166,16008,17414,13125,12065,12814,13026,11444,11624,11775,11483,12612,12511,11220,7872,7703,7718,8553,8359,8113,8005,7808,7784,7457,7794,..
Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,0,0,..
Cameroon,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,140,191,184,216,241,252,263,281,209,187,212,225,..
Canada,1980,2340,2700,3060,3402,3931,4255,4702,5029,5573,6041,6566,7146,47759,64303,64879,65448,63838,89076,100910,101927,102676,100726,161399,112667,115642,116776,113099,122588,135855,135955,139713,148359,154428,154377,160497,170232,175933,169612,173538,175823,160079,145649,150690,150824,217196,219400,227421,231630,201437,234087,257495,253422,266121,277224,283102,283824,291048,303678,..
