TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Argentina,..,..,..,..,..,..,..,..,..,..,..,159127,155848,180041,184107,185981,199811,206683,202152,201040,208552,221272,206106,238054,238124,233255,236467,247196,257962,244815,265304,281258,287775,331028,332290,337470,338599,340746,348481,378732,397864,382914,362624,385946,406178,425357,433360,504706,491104,487867,548745,559994,585268,615507,612819,616414,643971,596776,590316,..
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75080,66256,41091,16015,17069,22889,8884,15166,12866,11569,11884,11814,12288,13996,17347,19278,19441,25299,27176,25378,22512,25547,27835,27706,25878,29280,32178,34053,29841,..
Australia,43906,46894,47897,51339,54590,57475,59781,62783,65439,72395,186617,196400,212985,211314,224107,238215,238197,251349,249913,259321,252948,255415,264083,264220,268477,269359,280023,288362,288785,292604,313581,318871,325120,349383,334687,347938,353166,360882,367913,369537,379344,386315,399320,399210,396067,388785,392952,408461,410910,425498,429259,438582,437587,438945,432391,439140,442867,441313,441666,..
Austria,117897,111116,127819,148247,134403,137897,137153,155169,174920,184852,216973,212299,216635,239342,217247,216657,230126,224124,235781,254642,213437,218385,227673,223822,238345,247169,225089,237198,244289,232915,245755,273004,257684,262384,247518,264431,291200,262408,266879,273454,265161,279489,268891,274168,268721,275195,272766,259861,265050,268368,292141,270624,275722,286764,257178,271491,282282,284827,264825,..
Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98139,84958,67256,48067,89149,82594,89797,91704,103121,116854,95305,107057,121002,134095,140980,145251,151224,125782,143767,126000,129431,131353,115432,113230,124926,133070,147284,130994,137686,..
Bahrain,..,..,..,..,..,..,..,..,..,..,..,678,583,540,634,682,729,776,823,965,1006,1053,1056,1104,6365,6866,7155,7129,7601,7901,8396,6940,8706,9984,10702,11408,12128,13218,15301,13635,13737,14520,15561,16561,17446,18974,21208,21634,22236,22867,24799,24548,26267,26962,28941,31613,31465,34254,34111,..
Bangladesh,..,..,..,..,..,..,..,..,..,..,..,198679,206490,210594,215895,225679,232982,238866,244441,250536,257407,263651,264563,273490,271127,278326,291333,266670,290128,301929,318492,315683,322305,328340,337941,345535,339819,356116,365305,372398,385601,399496,414293,431344,445225,448896,458956,467740,473596,482090,501418,514198,523909,530232,552862,572314,607565,634622,650895,..
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,196437,205477,199964,188904,195002,194117,204441,217501,218508,209111,210574,225937,225179,222030,213976,216364,220316,208693,200888,205893,220306,216123,226402,222091,209811,203293,213121,216363,217534,..
Belgium,224217,244200,297390,354020,294371,318122,310088,329811,374599,384162,414050,390713,437585,462559,435455,430213,360971,366180,406228,431880,401425,368993,339129,325313,336465,377070,390092,378113,343415,337553,347055,383167,383001,380642,374213,390240,444634,413789,414957,398148,397542,414262,390907,413281,419827,417733,376270,348318,376395,357437,398168,333611,349077,378244,312191,344787,346341,340247,337012,..
Benin,..,..,..,..,..,..,..,..,..,..,..,13431,13944,14205,14733,15003,15178,15450,16283,16485,16943,17085,17308,17504,17918,18610,18681,19269,19838,20289,20783,21172,21829,22296,22935,23433,27617,29656,31668,43826,45315,49956,52733,54747,57720,60531,67017,69032,71055,73080,66582,63788,61224,62846,63256,63750,66047,67243,69943,..
Plurinational State of Bolivia,..,..,..,..,..,..,..,..,..,..,..,11351,11902,12657,13630,14344,15233,15932,16784,17303,36061,39473,41916,42455,43248,44178,45112,35002,37550,35583,35574,35824,36020,37915,38360,38810,39607,41067,40836,40131,36346,36670,36270,35861,37252,36922,36680,37170,36049,35850,36772,36831,36808,37765,38323,38385,39889,39538,40375,..
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22254,21075,18574,14980,16702,16638,19287,20205,22605,23347,22087,22397,22500,23068,23063,24118,24255,24216,28465,32847,34330,34577,33886,35098,41070,46633,47687,43770,71982,..
Botswana,..,..,..,..,..,..,..,..,..,..,..,6539,6765,7010,7265,7529,7859,8143,8423,8768,9090,15555,16104,16714,17303,17996,18699,18310,21271,22168,18758,19978,21225,21909,22700,22202,22875,23297,23043,24591,23792,25113,24826,24554,22087,22547,23139,23643,24214,24911,25518,25831,26334,26594,27081,26570,26899,27576,28273,..
Brazil,..,..,..,..,..,..,..,..,..,..,..,931680,939510,935963,934223,923171,918446,896339,871560,878503,877295,867337,814300,789811,802397,776301,749916,789014,782897,774655,755453,767488,777153,749077,748372,757347,781035,802676,828755,849490,866028,843711,865881,874848,893955,913609,924548,932152,951690,972150,990418,973542,994193,993120,1037490,1044409,1040090,1063751,1106591,1115442
Brunei Darussalam,..,..,..,..,..,..,..,..,..,..,..,536,536,532,536,536,536,536,536,536,763,900,1132,1251,1323,1432,1355,1629,1773,1809,1893,1918,2077,2272,2478,2551,2681,2955,2788,2734,2821,2663,2343,2581,2452,2215,2369,3052,6276,6244,5946,6072,6500,6415,6311,6344,6438,6143,6615,..
Bulgaria,..,..,..,..,..,..,..,..,..,..,..,65975,65353,74444,76382,79450,79114,89901,91263,94883,108479,105888,110007,103086,112904,116140,108542,113600,111798,120751,97739,103691,109860,118263,102177,102351,112318,92676,100823,91092,87913,82543,88554,93445,87150,87365,90233,86318,88487,88510,93925,99407,98497,93828,90644,91813,94291,97080,93352,..
Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,71689,75531,75954,82272,80794,79082,76639,100647,103428,71762,69211,66137,62450,59339,110570,110636,115542,119245,122154,125470,131423,125322,130431,134532,..
Cameroon,..,..,..,..,..,..,..,..,..,..,..,79426,80762,82628,84686,87462,89582,92814,95665,98975,101766,104470,107316,110075,113295,117320,120505,123747,126176,133830,136329,139970,141526,145615,151218,155456,159321,164204,169322,172579,178318,180487,212745,218958,224278,229234,195508,160969,164261,170427,170651,175549,180511,185613,191023,187873,192245,197184,202284,..
Canada,813735,821807,860945,883244,912654,931524,931919,958167,993342,1035989,1082421,1092522,1141334,1065093,1118257,1118827,1193560,1156202,1163847,1185862,1184882,1109629,1149764,1054584,1094414,1134733,1128583,1092035,1164485,1234421,1316363,1294046,1317316,1361508,1391682,1357022,1446487,1382214,1289678,1325687,1375348,1321066,1374308,1402509,1380158,1390148,1342644,1452189,1456353,1423653,1384374,1464412,1403784,1460281,1501482,1451020,1364495,1406803,1504623,..
Chile,..,..,..,..,..,..,..,..,..,..,..,82491,86939,88660,86387,83932,86766,89963,89621,90443,91512,93072,94647,92998,95738,97281,103436,109391,115325,121111,130762,137617,148277,155531,164666,172201,177446,192898,191747,199225,203597,210954,208509,203711,209768,205453,207570,213559,210105,214477,222910,233947,249713,256032,170420,166296,183410,184277,192730,..
