TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,0,1,3,5,5,8,8,8,12,351,2616,4000,5813,7110,7809,8641,9734,11450,12592,14049,16289,18828,20822,20757,22246,23775,26107,26833,28127,29053,32274,30588,31883,33270,34784,37390,37678,37959,39629,41439,43611,46035,50669,46331,47813,47692,48496,55552,57343,59594,60900,61776,64798,65380,66497,67153,69184,71823,74145,..
Austria,2373,2533,2614,2672,2713,2509,2735,2508,2674,3465,4477,5421,5987,6519,7217,7137,8146,8258,8661,8751,8274,7811,7614,7653,8646,9491,9346,9784,9244,9959,11443,12091,12152,12611,13277,14520,15480,14906,15336,15606,14716,15830,15733,16960,17332,18244,17022,16074,16956,16508,18189,17223,16463,15881,14325,15358,15920,17482,16714,..
Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32228,32106,19788,15985,15367,15515,10859,10568,9765,10515,10416,15832,16089,16549,17219,17150,18894,16804,19664,16836,16101,17657,19354,19370,20678,20207,20347,19815,20563,..
Bahrain,..,..,..,..,..,..,..,..,..,..,..,1784,2226,3155,3890,4089,4409,4756,5104,5591,5714,6088,6608,6928,7018,7498,7995,7827,8273,8380,8711,8268,10020,10765,11085,11207,11768,11875,12821,13049,13418,13904,14527,15044,14733,17094,18156,18770,20561,20873,21715,21951,22226,24375,25694,25683,25205,25315,25524,..
Bangladesh,..,..,..,..,..,..,..,..,..,..,..,309,309,468,628,634,650,805,976,1182,1486,1361,1721,2029,2149,3098,3427,4209,4695,4851,5383,5733,6203,6733,7454,8144,8595,8827,9800,11001,11746,13668,15016,16047,17608,19052,22300,24377,27852,31286,35795,36128,38460,40874,43035,45772,50880,52278,52327,..
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24661,23515,31770,30052,26698,23703,25711,30112,29268,30303,30890,31284,31867,33209,36204,36785,37164,37626,38546,31462,39457,37152,36477,36797,36338,33815,33732,34582,36770,..
Belgium,29,34,23,21,25,23,28,361,1664,4745,7997,11330,14404,15186,17929,17388,18993,18652,18528,20647,19625,17872,14565,15585,16152,16172,14434,16242,15778,17810,18343,19553,19802,20775,21249,23352,26136,24813,27668,29224,29509,29563,30408,32146,32662,31937,33039,33026,32929,33607,36789,30649,31632,31816,27883,30391,31152,31552,32708,..
Benin,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,57,61,4,77,38,..
Plurinational State of Bolivia,..,..,..,..,..,..,..,..,..,..,..,95,166,177,216,290,353,413,471,487,561,664,657,688,699,844,871,999,1087,1303,1477,1600,1829,1917,2252,2463,2327,2557,2654,2241,2321,2523,2642,3064,3162,3621,4107,4538,5080,5606,6319,7001,7297,7736,8615,8576,9464,9559,9619,..
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,933,858,808,276,330,289,485,291,332,338,462,299,282,374,590,700,736,778,771,445,467,531,489,380,355,416,433,468,466,..
