TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Argentina,..,..,..,..,..,..,..,..,..,..,..,82226,78192,80146,75035,70820,63487,70202,68826,70391,74130,72562,66628,74331,77931,74864,68719,74072,70886,60978,66620,71503,72213,76950,76831,83772,83514,79999,84322,86421,87909,82572,77967,90316,86711,91870,78890,79199,82257,82789,102290,116197,119872,126925,131541,136856,141518,161054,153608,..
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,628,623,612,597,583,571,562,556,551,548,513,375,411,500,527,346,563,357,356,355,354,354,355,356,1419,3946,5278,5551,3966,3958
Australia,171403,171403,166844,170068,163700,167627,160715,164118,159890,159375,148225,148975,151914,147710,154032,154786,155586,155623,154070,148456,151286,160283,166388,164386,160359,164985,148311,151142,154176,161026,165875,164745,146908,174753,170361,178812,203778,212227,207483,208032,210842,212966,226713,219531,216461,213634,216596,224610,238601,172382,205015,195190,196897,205716,205173,216727,215466,228418,219163,206850
Austria,32385,28428,28868,31652,25205,25205,28868,26963,25058,25058,28043,28181,27030,30007,29349,29571,30254,30593,35236,43346,47617,52636,59275,60420,70682,78023,89743,96074,138405,116243,104793,114549,113940,116989,113870,120910,131473,126076,122816,137748,131228,141426,136728,143556,149912,170389,198703,216432,227276,238626,261812,261230,271961,273979,266366,274094,274582,275257,258803,256521
Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,707,718,729,740,750,759,767,774,781,788,795,586,502,1005,502,1047,1005,3682,3579,3068,3772,4044,4117,6353,6415,6481,4216,4293,4639,4995
Bahrain,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Bangladesh,..,..,..,..,..,..,..,..,..,..,..,186566,194377,200433,203975,210594,215677,221441,225864,230663,236650,239349,244811,256351,253240,258502,270159,244666,266990,275012,287395,287889,292773,293965,301407,302220,291523,301260,305941,312771,318937,325010,330978,336760,342242,347364,352073,356418,360525,364574,368696,372941,377273,381600,385954,390261,394423,398685,403109,..
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9573,10354,11135,11920,16081,18287,26093,28461,30646,32680,39452,44009,46135,45880,46823,52946,58817,59312,60082,61067,64333,66364,67125,64310,60917,58096,58101,62723,64650,66052
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,361,692,800,754,1805,2806,3039,2403,2345,2420,4779,4917,6611,8509,8270,9046,17150,31596,32916,34231,31532,31914,37832,37324,37132,39039,42462,43367,49685,48554,58933,62152,67313,79394,89201,102891,118788,141022,148084,151067,150341,142053,148626,158960,159170,158257,156447
Benin,..,..,..,..,..,..,..,..,..,..,..,41970,42798,43662,44546,45464,46384,47350,48406,49520,50736,51942,53224,54582,56015,57506,59022,60594,62196,63839,65497,67134,68758,70395,72000,73500,77108,76229,75277,74771,60512,62397,64710,65997,67976,70017,76513,78919,81234,83568,82282,84688,87107,98015,100743,103725,106900,109605,113240,..
