TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Algeria,..,..,..,..,..,..,..,..,..,..,..,37349,37035,41806,46091,51190,57787,63680,72866,79447,87323,95372,99755,107036,114906,172655,175169,177154,177670,181374,223786,238941,238875,241631,221825,216149,214827,216595,222322,237287,241730,242970,275988,315917,314021,347248,369053,394453,413018,430764,446526,482194,542965,564707,609938,651054,635507,630061,640931,..
Angola,..,..,..,..,..,..,..,..,..,..,..,14043,23540,19880,17860,14972,15117,9005,18306,14521,13761,12059,11841,10739,9845,14390,14224,14442,17188,18009,14093,17337,16382,16739,21219,14832,13699,14565,11527,16014,14869,16667,20476,38046,48348,34646,45693,54103,72333,80031,90154,99800,93712,106509,110023,110372,109038,92484,96316,..
Argentina,..,..,..,..,..,..,..,..,..,..,..,331892,351237,359278,364037,341729,344334,364894,372908,402219,417724,415582,420515,422760,415005,383735,398699,409462,388992,390727,402856,425801,456380,489982,483072,503744,586899,585874,623476,587490,573066,529867,491708,506642,547348,555888,595721,640695,668326,614250,667151,698703,693193,738991,695279,730490,718021,742763,756100,..
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43932,43049,27523,17833,2929,2283,1503,1471,1512,1491,8671,8616,8275,8880,9285,10516,10488,17570,20814,18892,20985,21817,22236,21865,27748,27207,26038,27408,29937,..
Australia,293201,295327,311235,338544,357045,376977,388742,413464,442321,475710,459854,474109,489402,541386,557156,579688,598616,636887,671226,687529,704408,716524,733577,725731,755834,778047,799259,812405,844401,871275,883855,864554,886920,903207,927538,966284,1001344,1020866,1021817,1042031,1074209,1065156,1089116,1099427,1137773,1136385,1167191,1200000,1225448,1216810,1255921,1288576,1298009,1319883,1321665,1355051,1371733,1396432,1423228,..
Austria,72249,75671,82651,88125,92555,96844,102866,107514,111901,124151,126591,137849,151201,161974,150288,152252,155600,162193,172521,182074,171046,161590,160521,165877,162882,166131,171678,178503,189225,196060,202461,223807,224117,225865,226226,229134,250837,238035,267512,260934,270790,291450,316051,338619,343155,354408,347001,352147,340799,333531,343568,332553,330674,351586,348630,358382,365006,370356,373010,..
Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,92434,73858,60793,56058,48712,50112,41333,48260,44909,24779,35234,38929,43843,47603,55925,62419,70579,55642,69259,62154,71902,83680,92046,104321,108022,100066,93821,108196,112386,..
Bahrain,..,..,..,..,..,..,..,..,..,..,..,2509,3037,3216,3785,5055,6585,8123,9267,8591,8779,9881,10811,11959,11976,12297,11830,11840,12551,13220,14149,14331,15920,16505,16822,17523,17883,18772,19793,20552,21757,22650,25329,27576,30082,35145,36750,39950,43636,43016,44306,41759,44944,46618,48065,50134,51262,52769,54474,..
Bangladesh,..,..,..,..,..,..,..,..,..,..,..,3448,3448,3204,6743,8506,8987,8764,9114,11673,13519,11321,13354,14954,14627,18337,18016,19318,20502,22439,22793,25058,28845,29651,30280,36566,40279,45667,46652,42435,41668,51968,52778,54008,62606,69868,73598,76229,87364,93691,109337,125600,126914,120326,129903,136151,144369,160258,174655,..
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,173577,183952,168785,140250,102276,100271,108123,112885,118690,105740,97945,93405,101549,104724,106957,117521,137455,139771,157477,143685,151394,159166,170086,178155,169850,152915,158643,165001,173243,..
Belgium,95215,99482,102596,104916,110882,120820,114670,124936,141072,146535,162764,168877,180579,184980,179994,192392,204070,214029,220063,232409,226210,220404,222982,227589,228211,233482,254300,262121,282373,288313,285096,287650,299127,306209,314144,316446,321489,325504,335698,338576,342264,353320,352180,360933,373408,363475,368356,379624,380368,374270,375591,369260,357717,351404,356663,373438,377139,370684,372790,..
Benin,..,..,..,..,..,..,..,..,..,..,..,3452,4457,4371,4511,4901,2513,3207,3736,3690,3602,2546,3331,3195,3958,5026,4547,3872,3791,2676,2276,1790,1617,1617,1660,1660,6984,9632,10598,11976,13002,13977,16644,19404,19843,21911,27785,34255,34536,39519,44481,46060,47903,53845,56982,64049,81679,84334,94878,..
Plurinational State of Bolivia,..,..,..,..,..,..,..,..,..,..,..,14315,15378,16567,18165,21787,23981,27500,30850,31083,30292,29006,23815,25307,24687,24955,24977,28373,28673,30516,31672,33227,32780,37679,39191,43530,45540,43338,44635,44642,41191,40329,41134,43878,47880,48904,63702,71225,78997,85039,92300,101960,109292,120815,129029,132133,137555,146140,152752,..
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30564,25980,14624,11722,13367,13755,14186,14618,19457,18613,29119,29615,28318,28479,33059,31851,39778,42006,46805,48309,47161,47126,43978,39117,41186,42940,49860,52028,51591,..
Botswana,..,..,..,..,..,..,..,..,..,..,..,264,352,529,617,705,705,838,1102,1542,1983,3481,3791,4190,4459,4641,5392,5931,6418,7478,9109,9955,11417,11261,10869,12542,12678,13647,14625,15906,17178,18490,17688,18966,20626,21067,22836,24162,27819,25790,27145,28374,28670,29918,31019,33311,34812,35700,37289,..
Brazil,..,..,..,..,..,..,..,..,..,..,..,603536,681586,799117,874349,928441,999627,982453,1067444,1129070,1076563,1068422,1095082,1061730,1077089,1143284,1303202,1287681,1303028,1371297,1380144,1443317,1446464,1505141,1580796,1730613,1874945,1962804,2045183,2007333,1983601,2000737,2057460,2015134,2166451,2201941,2228079,2409910,2611933,2622524,2932735,3106202,3322250,3508533,3643811,3547735,3471944,3498299,3493822,3606051
Brunei Darussalam,..,..,..,..,..,..,..,..,..,..,..,1165,896,1210,1434,1434,2016,2419,2419,2912,4689,4438,5146,5810,5825,6405,6544,6945,7386,7562,7874,8495,9285,9685,10265,11013,11848,12373,11627,11500,11453,11933,12461,13027,13726,13414,14505,15822,15919,15799,16547,18034,18885,18676,19033,19126,18870,18778,19087,..
Bulgaria,..,..,..,..,..,..,..,..,..,..,..,70444,67694,66413,64080,63615,63079,61907,58080,57200,63115,57200,57200,57200,60157,58120,58064,58780,101780,107083,95661,53030,57418,63501,58148,62483,61445,62324,78772,82094,80089,82288,85677,93080,99070,111059,118368,116260,121217,116055,113252,116001,122498,110120,122578,135001,137377,139765,141782,..
Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16007,16046,16646,19202,18802,18136,20730,18181,18531,18834,20340,21758,27202,28288,36776,42728,45221,47602,48505,53013,58403,69195,73026,79954,..
Cameroon,..,..,..,..,..,..,..,..,..,..,..,7890,8580,8941,8667,10426,9778,14020,14329,15447,16415,16651,18223,20972,22038,24259,23051,23354,25955,25434,24315,21717,21786,23484,24492,23728,24042,25322,26151,22785,25804,25856,28619,29116,30042,29264,26082,29689,30492,34966,37122,38526,40239,42167,44806,43841,44315,40912,39763,..
Canada,714027,721231,756453,798495,846136,895570,953462,1004220,1058859,1102563,1160967,1202726,1287533,1406647,1468126,1495657,1561450,1583251,1660422,1829904,1855628,1839881,1600881,1561435,1611287,1644406,1642325,1711959,1824086,1854659,1805439,1755041,1825150,1855031,1943707,1999612,2047612,2111132,2155360,2207224,2183087,2148835,2312035,2341593,2397274,2459499,2442097,2547975,2522407,2458886,2539270,2562465,2592781,2676191,2665142,2661817,2677816,2753950,2855189,..
Chile,..,..,..,..,..,..,..,..,..,..,..,84169,82280,76840,73022,63336,64529,68017,75491,81434,87543,92918,88276,88607,88304,87120,89523,95575,108747,116506,127534,133108,144430,159876,172891,190982,207630,220055,231311,233898,237197,224522,231293,227743,235658,257869,254399,275491,286168,288578,299080,304495,312489,341221,330655,354211,369922,383314,396765,..
People's Republic of China,..,..,..,..,..,..,..,..,..,..,..,556720,618222,678135,742569,825618,838186,925052,917868,958259,909025,900345,944741,1012076,1086150,1120481,1229689,1302148,1391837,1447590,1264532,1373833,1533527,1751309,1632565,1794820,2392696,2086808,2008611,2244518,3501875,3598837,3916490,4455609,5265666,5654087,6202604,6697448,7303833,7486223,8252240,9048996,9978487,10801352,11253700,12113739,12414161,13005027,13590385,..
Colombia,..,..,..,..,..,..,..,..,..,..,..,96910,102191,110204,123256,132855,141680,147356,157410,164302,168238,170546,178298,186869,192744,199252,202989,209479,226796,231618,233513,243775,257418,260987,242831,290029,297243,311710,304914,271876,263492,274474,244970,251171,286258,281039,299558,303936,312929,291414,302475,364572,384998,373181,388650,419041,435717,434083,446218,..
Republic of the Congo,..,..,..,..,..,..,..,..,..,..,..,4762,5239,4942,5249,5425,7080,5303,6475,6259,7041,7476,9002,9144,8104,8317,7753,7965,7495,7144,7103,7498,6542,6541,4055,5799,4395,3422,4382,4259,5884,7585,5887,8240,9726,9958,12149,13252,16208,17647,20386,22610,22058,26285,27733,23503,20074,18257,18257,..
Costa Rica,..,..,..,..,..,..,..,..,..,..,..,9455,10729,11746,12684,13776,15051,16360,18191,18573,18411,16279,14523,15066,16116,16545,18122,19199,21644,23251,22037,22938,33510,34543,36238,36117,36441,37322,41346,42994,41678,44394,49034,50180,53777,52706,55444,59565,61072,61888,63650,65236,66924,68038,69454,74235,79304,80895,82188,..
Côte d'Ivoire,..,..,..,..,..,..,..,..,..,..,..,12296,13395,12793,13347,14202,16988,18179,19731,20881,21763,21058,19695,17800,16556,16601,16084,15343,15423,17189,16570,16374,15756,15261,15174,17019,17354,19040,16791,19525,17656,17220,19501,14208,15657,16814,17700,17755,21457,21773,20552,22072,32830,34519,36617,43709,53553,49720,55247,..
Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,51424,41205,39495,41436,43718,46381,49106,55228,57786,60929,61411,62080,66317,71738,73856,76371,81256,86414,85269,85342,81957,80364,78875,79746,78815,82830,84842,91117,89097,..
Cuba,..,..,..,..,..,..,..,..,..,..,..,57977,56548,61906,60536,64142,64516,67124,70618,74160,74411,77989,74404,74853,79553,76675,78861,78341,82236,79840,71285,51963,36164,27220,26503,27676,30875,38333,34832,33043,30614,31143,29104,26900,27952,27216,26069,26562,26447,20776,18351,17997,15887,18395,20521,21931,21810,23846,26047,..
Curaçao/Netherlands Antilles,..,..,..,..,..,..,..,..,..,..,..,20495,20323,18693,17140,16034,18596,18982,23131,21367,21367,19840,18553,18605,17470,15305,12577,13182,13700,12511,12338,13680,14763,11539,15503,15596,15778,16475,17086,17870,18611,18960,18960,19047,19439,19875,20529,21313,21749,20877,21270,21531,15141,14824,15130,15000,14958,14957,14883,..
