TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Algeria,..,..,..,..,..,..,..,..,..,..,..,89009,101020,116560,126297,137265,163034,175972,205204,241550,246262,276424,301877,317854,347462,378735,401170,414089,415421,420270,532684,572512,588806,601930,560814,558746,550302,552187,566450,624648,644809,648277,708830,770206,797339,862903,885096,965079,1007662,1075144,1106954,1173378,1309983,1372389,1467513,1568001,1583906,1605441,1774340,..
Angola,..,..,..,..,..,..,..,..,..,..,..,121377,133607,130913,130431,128396,126476,122477,138693,139560,143121,143323,141143,143981,149999,159776,160783,164613,171637,175981,189719,195308,197509,205781,207248,204736,209742,211258,208933,218166,221980,229478,240244,261874,275631,253048,287095,307491,336727,361427,381677,400292,408286,435451,439599,447411,446532,407004,411639,..
Argentina,..,..,..,..,..,..,..,..,..,..,..,955663,953206,1014927,1039697,1002702,1049420,1072134,1112427,1166804,1178819,1165695,1174372,1228030,1254660,1178061,1242400,1327918,1299935,1238884,1252422,1319684,1391754,1474462,1564230,1602213,1702338,1768072,1838392,1783764,1782848,1707588,1640658,1776117,1910049,1955359,2048548,2172880,2217549,2071477,2238630,2306396,2302890,2411148,2387718,2429195,2399112,2387049,2393222,..
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,271116,258778,124786,79081,45471,48056,30034,41158,40931,40062,46340,46852,46142,53652,60869,71770,74560,84334,93032,80483,76431,83766,89472,87979,91271,89845,88749,93588,91650,..
Australia,975780,1009801,1018073,1104421,1147076,1210900,1228515,1295849,1372828,1437785,1462236,1510433,1534681,1657060,1680971,1720767,1743223,1835972,1860450,1911117,1959056,1950923,1972302,1902295,1980731,2064609,2069645,2116355,2208880,2296322,2372078,2353619,2375449,2463213,2519014,2607258,2688140,2749640,2790176,2833672,2913258,2940469,2920292,2967282,3037517,3024299,3050503,3139894,3187343,3149971,3194938,3298905,3347052,3395943,3401588,3385846,3414313,3436303,3489043,..
Austria,363923,359819,397174,439055,449849,460648,477407,492133,526531,559319,596261,609855,642228,695358,676306,668677,695246,703162,743406,790171,780531,745447,740274,744141,767692,794185,796126,815991,846332,835571,827620,890070,867159,877948,854120,890749,968211,956598,973658,982658,985862,1046018,1050571,1109148,1127474,1137172,1152665,1126965,1128735,1103014,1154149,1112357,1123392,1150251,1105789,1130894,1158682,1168900,1155649,..
Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,699409,677185,482292,393586,403469,399134,312209,300584,292174,261507,273469,269491,289463,290961,319856,337350,320824,279169,330432,280987,289632,316705,326267,343734,361750,364899,376472,372042,385736,..
Bahrain,..,..,..,..,..,..,..,..,..,..,..,12268,14899,30188,43338,46404,49402,52599,54457,55808,53214,59796,67391,68471,38036,60263,74379,70390,75185,82426,87673,83255,94814,105613,104764,109225,108803,117008,118003,121824,127860,133969,138956,145691,153565,177069,187173,189093,201662,198818,214186,212193,209957,242052,254650,261596,264414,264219,277085,..
Bangladesh,..,..,..,..,..,..,..,..,..,..,..,224493,232338,247745,260404,267659,283823,289186,296573,307578,325939,328705,342266,349405,350978,361604,386369,373102,410124,433712,455489,444205,466453,487382,512018,561838,566163,587446,607602,605589,634841,681157,693008,741085,739142,766785,802543,836979,863014,897455,955101,1000354,1028063,1040132,1080703,1185120,1222549,1304749,1350477,..
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1444873,1384112,1156482,998343,810581,768856,802747,787274,786842,768004,755377,765562,777121,802544,796438,797302,858964,837479,823460,792709,822164,869130,961525,825885,849287,764415,772941,791836,831407,..
