TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Argentina,..,..,..,..,..,..,..,..,..,..,..,66738,66415,69112,67645,63992,66944,70296,69499,73053,69156,66328,63279,63207,60664,53117,56878,61452,58902,52268,49970,54474,55771,56147,55056,53457,58382,59646,61045,56893,53001,49005,44718,47302,53622,53079,59299,66965,70207,63030,72275,75258,74889,77208,73396,77637,76462,71135,67903,..
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10492,11905,6887,3390,953,677,372,397,410,592,791,778,820,942,926,985,925,932,1040,960,1013,950,905,858,899,824,839,877,831,..
Australia,34190,36432,37424,42186,43828,46243,49503,53320,58017,60633,62367,64118,63298,69063,77805,77968,79211,83703,85629,86164,83796,80783,80229,75400,77488,76987,76807,78242,80507,83726,85478,83725,83372,84883,87118,90396,93722,94496,95341,96887,99858,98897,100509,105512,108683,109122,110284,111869,115787,114052,119908,125997,127799,133390,131780,131865,131945,134752,137980,..
Austria,8213,8966,10700,12344,14100,14976,15939,17375,20062,21806,23762,26896,29153,31964,27975,28500,30988,30634,32129,33210,31931,28518,27576,26297,24708,25368,26443,26712,25895,25568,27199,29654,28474,29878,29248,29493,32258,31352,33305,31360,30747,32986,34256,36674,37001,37753,36335,34747,33873,31928,32783,31039,29879,30669,29659,30131,30512,31288,31081,..
Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20904,19690,22603,21362,17897,16847,16203,15695,16489,15250,16890,10002,9426,11283,10186,11868,10503,9892,9148,7686,7431,8793,9541,9996,9995,10460,10935,10864,10248,..
Bahrain,..,..,..,..,..,..,..,..,..,..,..,1110,1076,1113,1160,1141,1275,1541,1574,1547,1526,1674,1532,1539,1644,1602,1780,1792,1851,1887,1968,2018,2160,2214,2198,2251,2325,2474,2598,2345,2425,2449,2670,2863,3056,3471,4199,4096,4055,3605,3836,3623,3875,3918,4001,4390,4434,4499,4664,..
Bangladesh,..,..,..,..,..,..,..,..,..,..,..,2201,2201,2466,2840,3281,3543,3487,3720,4150,4602,4506,4550,4056,4102,4413,4802,4730,4592,5150,4926,4663,5210,5637,5901,7071,7379,8635,8812,8491,7894,9790,10095,10364,10748,11004,11036,10484,10490,9699,10902,14711,15285,15046,16346,16129,15717,17781,20918,..
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,65602,63295,46773,37957,31354,27705,26573,23423,22547,20061,17281,16247,15889,15271,15657,15679,17596,15789,17696,21740,17737,16788,18030,17447,16987,15711,15980,16065,16911,..
Belgium,18605,20121,23829,26695,32495,38217,38727,43624,49335,54533,61499,62427,67392,70467,61516,59522,65260,64731,69101,69645,64054,55907,53050,46552,43711,44860,50672,48941,49445,47200,46302,50646,51935,50737,52030,51183,55281,55178,55424,53309,51981,53928,50507,53814,53745,52741,50478,47840,49948,49130,49556,45544,45138,45815,43961,46798,45687,44277,43813,..
Benin,..,..,..,..,..,..,..,..,..,..,..,305,400,410,421,463,280,335,382,382,395,300,364,365,379,473,409,360,356,281,256,200,209,209,215,222,907,1159,1215,1340,1425,1735,2020,2277,2434,2678,3246,3786,3836,4194,4583,4420,4208,4442,4742,5128,6330,6401,7174,..
