TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Algeria,..,..,..,..,..,..,..,..,..,..,..,145062,168349,201921,217167,231162,263822,295298,363599,460624,469212,510133,664498,718122,711743,743025,839323,828841,875003,867614,928991,982661,1005872,1009469,973017,1015221,983003,1007313,1042489,1112840,1130413,1132717,1211619,1287659,1303650,1357560,1453697,1542612,1560819,1706970,1744125,1814327,1984142,2055406,2242281,2346019,2326758,2394598,2551709,..
Angola,..,..,..,..,..,..,..,..,..,..,..,161249,173595,172970,176703,172561,170537,168132,184958,187524,191075,192337,189723,194999,197011,208962,211369,216474,225263,230283,246356,252255,253662,262708,266300,263783,269051,272438,269017,280212,285157,295196,306323,328128,338445,314051,354045,382384,413497,451822,469558,486762,547715,551656,727977,640130,616682,615069,643966,..
Argentina,..,..,..,..,..,..,..,..,..,..,..,1345553,1405718,1455178,1509211,1487793,1538503,1586860,1629333,1698370,1686122,1649266,1650643,1711772,1746041,1674713,1751189,1842922,1910192,1859435,1837131,1912650,1967571,2026754,2193132,2188741,2260343,2333661,2485903,2548255,2534459,2358649,2333562,2525809,2804590,2783574,2927881,3073030,3175191,2917745,3132427,3238868,3330470,3413560,3420916,3472561,3452427,3452457,3353973,..
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,322763,340214,172956,91802,57724,68869,74574,77962,79405,76771,84356,83986,78565,82956,87711,105195,107133,119456,125790,109285,103976,113709,124391,121440,127328,131831,126659,133575,129092,..
Australia,1318142,1367556,1427062,1505617,1566012,1651263,1730042,1824276,1892316,1947424,2127814,2161011,2226254,2388880,2467297,2527943,2588572,2775670,2783146,2846349,2914252,2934128,3061521,2931241,3027466,3051515,3098427,3243637,3308666,3518223,3606451,3564009,3630126,3818143,3822397,3873353,4143235,4240531,4350929,4445852,4526224,4427483,4582794,4636601,4716947,4751373,4937897,5073201,5264939,5272483,5285411,5315925,5257593,5333458,5306950,5299758,5291363,5343192,5360260,5544576
Austria,456265,461081,500287,548013,561080,563749,583326,593092,635180,679691,756034,787782,829900,899187,868742,842456,908167,886475,916029,992191,969463,918063,897542,900268,935131,966585,970367,1006870,1017769,1001443,1041622,1108910,1065504,1077710,1074781,1122735,1193179,1184522,1204598,1201980,1197712,1265599,1276172,1345384,1367136,1406947,1420964,1392725,1403794,1334013,1423302,1379861,1375191,1395623,1341567,1371516,1383206,1413984,1374756,1385998
Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,948976,940191,761841,682693,619586,582189,492035,474041,492086,457645,472984,479249,484057,509134,535403,562240,554108,507238,557920,499880,485154,526010,573354,581253,599768,601164,595467,600267,601979,..
Bahrain,..,..,..,..,..,..,..,..,..,..,..,58994,57303,85212,95038,89305,113885,103967,106263,126531,117479,129962,146612,141172,150639,174275,186283,178893,204297,206772,218829,215648,238963,248759,265433,268556,267012,303573,317771,317233,333735,340860,356572,371987,379604,428825,463405,494377,524397,508946,525430,523061,518552,572079,578390,590089,584846,586264,596656,..
Bangladesh,..,..,..,..,..,..,..,..,..,..,..,238095,245924,265539,275665,281693,299622,306722,317253,329667,351848,359314,379334,388446,393740,416745,446080,439274,482746,506935,533941,526089,554918,578550,611931,661144,666735,695757,717346,745360,775310,850065,871332,903812,923667,969742,1034652,1082224,1123780,1183758,1258210,1305727,1366469,1418880,1473919,1596216,1672150,1701905,1754290,..
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1907723,1858818,1551689,1321954,1123427,1039631,1068247,1065804,1044613,1017570,1034769,1039578,1059881,1090278,1127114,1126487,1199223,1174450,1175908,1113247,1152310,1224004,1276472,1137980,1159767,1057037,1049133,1069138,1128896,..
