,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Jamaica,..,..,..,..,..,..,..,..,..,..,..,1287,1301,1181,1240,1178,1193,1097,1186,1038,1049,1042,1100,1106,1067,973,982,994,1006,1232,1300,1270,1240,1169,1197,1146,1175,1201,1017,1014,1023,905,903,904,846,689,784,839,757,678,734,879,966,1010,1036,1001,921,821,783,..
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17695,18642,20151,20825,21127,22111,23587,24897,21352,21462,21056,20125,20424,21218,21299,22054,20445,21375,22008,20168,23801,24732,26439,31288,32149,34966,32500,30314,36436,35635,35175,37856,37908,39200,35254,39785,41663,0
Jordan,..,..,..,..,..,..,..,..,..,..,..,4,4,4,4,4,5,3,3,3,3,4,8,9,9,9,9,9,10,10,10,11,11,11,12,12,12,14,14,14,16,18,18,19,19,19,20,23,23,23,25,25,28,28,29,22,227,290,338,..
Kazakhstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,538,538,538,370,358,370,347,347,344,344,344,90,107,124,99,54,96,120,328,312,236,368,279,309,147,402,527,495,343,0
Kenya,..,..,..,..,..,..,..,..,..,..,..,12626,13091,13582,14094,14631,15193,15779,16388,17027,17692,18389,19112,19860,20631,21419,22224,23042,23873,24716,25565,26424,27289,28161,28897,29767,30643,31524,32415,33320,34251,35185,36147,37136,38155,39221,40309,41440,42591,43903,45090,46332,47535,48771,49971,51209,52458,53710,54960,..
Korea,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2064,1411,1093,847,647,721,1673,1736,1833,1638,1643,1695,2131,2243,2186,2979,3371,3702,3913,4388,5027,4926,6617,7749,13435,12930,13133,13985,15883,0
Kosovo,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,994,1003,1009,1014,1014,1014,1014,1014,1093,1101,1108,1135,1161,1161,1179,1235,1716,1740,1769,0
Kuwait,..,..,..,..,..,..,..,..,..,..,..,52,17,110,38,38,38,3,3,14,17,17,17,7,28,28,28,28,28,28,28,28,38,17,10,31,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Kyrgyzstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24,22,21,15,19,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,16,14,14,5,7,10,0
Lao People's Democratic Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5508,5638,5770,5909,6055,6199,6344,6871,7414,7272,7101,6929,6678,6649,6717,6786,6727,6784,6768,..
Latvia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3080,3612,3602,4012,4159,4715,4928,4941,4876,4787,4446,4932,4902,5173,5460,5508,5547,5417,5127,5851,5181,5320,6014,6109,6439,6103,6264,6928,7416,0
Lebanon,..,..,..,..,..,..,..,..,..,..,..,452,466,475,502,510,511,517,512,501,497,495,495,495,496,496,497,498,499,509,424,438,439,451,467,485,500,507,537,555,548,606,636,669,684,704,714,708,672,575,622,631,644,619,635,582,599,606,708,..
Libya,..,..,..,..,..,..,..,..,..,..,..,455,475,494,514,534,551,569,586,586,586,586,586,586,586,586,586,586,586,586,586,586,586,586,586,586,599,613,626,640,655,975,993,1011,1025,1043,1057,1075,1089,1105,1116,1125,1137,1145,1153,1167,1180,1194,1210,..
Lithuania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1335,1335,1336,1994,2062,2163,2370,2425,2674,2772,3025,3291,3553,3752,3930,3974,4174,4203,4457,4574,4562,4450,4906,5062,5365,5967,6003,6401,6338,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,37,38,44,44,43,43,48,49,37,51,57,58,51,52,126,124,123,121,110,116,112,115,114,121,119,136,154,247,254,417,430,401,420,408,419,458,585,638,677,789,893,0
Malaysia,..,..,..,..,..,..,..,..,..,..,..,4117,4105,4062,4022,4044,3977,3921,3910,3826,3770,3780,3773,3738,3710,3686,3657,3621,3602,3588,3569,3430,3391,3388,3343,3306,3289,3245,3204,3159,3114,3073,3032,2990,2947,2906,2883,2916,2909,2761,2423,2424,2138,2710,2083,2303,2310,2338,2986,..
Malta,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,18,23,30,30,29,32,39,0
Mauritius,..,..,..,..,..,..,..,..,..,..,..,1296,1277,1257,1238,1220,1201,1181,1164,1149,1128,1109,1094,1079,1070,1132,1210,1244,1141,1215,1365,1299,1328,1265,1144,1296,1253,1355,1370,1019,1197,1285,1175,1199,1240,1181,1159,1115,1188,1054,1087,1057,1011,989,949,1119,1005,950,886,..
Mexico,..,..,..,..,..,..,..,..,..,..,..,28006,28155,29116,29639,29561,29631,30080,31507,32317,32252,31781,32336,32738,33640,33695,34559,35801,34779,34649,40111,41266,41718,41383,39723,41288,41310,42439,42884,42190,41906,40464,39878,40055,40314,41627,40649,40691,39987,37320,37931,37223,38115,41690,40774,40285,40473,42379,42796,0
Republic of Moldova,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,291,292,292,292,291,290,289,286,276,273,279,283,325,377,359,315,371,311,362,362,2399,2531,2697,2737,2945,3025,3247,3552,3663,0
Mongolia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,246,246,246,246,246,246,246,250,253,253,253,253,257,257,257,392,449,499,499,499,499,499,541,546,540,545,548,434,434,434,434,434,430,430,..
Montenegro,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,671,686,715,715,748,755,815,825,786,770,794,781,768,706,..
Morocco,..,..,..,..,..,..,..,..,..,..,..,2989,3056,3121,3188,3258,3331,3408,3492,3576,3662,3751,3846,3938,4031,4121,4210,4299,4383,4467,4554,4925,4988,5066,5135,5240,5320,5394,5464,5530,5593,5652,5707,5763,10450,9784,9045,8387,7681,6897,6622,6376,6152,6001,5930,5932,5847,5776,5652,0
Mozambique,..,..,..,..,..,..,..,..,..,..,..,22045,21887,21781,21756,21822,21739,21737,21793,21886,21997,21940,21927,21923,21871,21755,21513,21257,21007,20776,20602,20565,20673,20920,21235,21618,22004,22380,26922,27469,27826,23705,25915,28726,29582,30294,29401,17234,17942,16907,15869,16815,21839,24688,22569,22996,12264,11105,11433,..
Myanmar,..,..,..,..,..,..,..,..,..,..,..,27121,27769,28519,29092,29693,30234,30762,31273,31831,32315,32865,33447,34079,34701,37217,37596,38199,38354,39192,39344,38722,39748,38916,41109,41395,40833,41574,42330,41908,42299,43237,44200,45467,46499,47046,48091,48317,48493,48681,48968,49225,49508,49822,50147,50454,50757,51061,51182,0
Namibia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,643,647,659,664,669,684,691,688,686,855,854,848,859,859,863,867,872,880,1020,886,879,882,904,915,928,933,933,936,..
Nepal,..,..,..,..,..,..,..,..,..,..,..,16844,17210,17589,17978,18381,18793,19220,19656,20105,20567,21009,21460,21920,22391,22872,23363,23865,24378,24902,25437,25985,26544,27113,27699,28299,28912,29540,30180,30835,32664,33505,34686,35446,36213,37005,37650,38425,39248,39690,40060,41113,37992,42793,43362,43944,44375,45101,45854,..
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,794,780,843,1143,1025,950,853,244,213,16,359,450,572,1566,1626,3127,3118,3136,3340,3316,3561,4066,4419,4633,4867,5194,5544,6090,5825,6718,8364,8564,8757,10066,11476,11841,12097,12427,11414,10990,10886,11005,11214,11876,0
New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1881,1963,2020,2222,2248,2195,2412,2421,2322,2313,2462,2437,2413,2518,2632,2666,3449,3524,3524,3713,3898,4012,3850,4044,4293,4763,5203,5151,5536,5575,5991,5971,5939,5692,5308,4924,5514,5580,5549,5267,5322,5381,5347,5631,5526,0
Nicaragua,..,..,..,..,..,..,..,..,..,..,..,3178,3207,3329,3462,3628,3818,3880,3915,3834,3915,4019,4224,4147,4357,4595,4306,4436,4426,4518,4758,4984,4828,4845,4881,5043,5269,5665,5574,5369,5546,5085,5041,5041,5471,5467,5740,6057,5985,5919,6170,6076,6399,6541,6722,6593,6726,6981,7014,..
Niger,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5639,5840,6036,6238,6424,6641,6832,7073,7319,7546,7773,6368,6955,9310,9678,10060,10395,10801,11222,..
Nigeria,..,..,..,..,..,..,..,..,..,..,..,141374,144889,148586,152584,156385,160630,165018,169312,174154,179151,183843,188982,194211,199747,205446,211056,216800,222714,228604,241663,247872,254224,260765,267669,274779,282113,289666,297451,305593,314121,322833,331653,341451,350819,361410,372573,387556,398760,410199,426623,442866,464463,470065,469200,481779,493217,505661,518692,..
Republic of North Macedonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,879,906,875,875,875,875,714,846,996,697,689,802,801,968,970,899,903,925,906,978,1065,1047,1103,1088,939,1104,943,0
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,2114,2225,2644,2743,2999,2923,3039,3248,3634,3839,3988,3917,4030,4557,4278,4205,4599,4977,4995,4860,5115,5636,6643,5952,5255,5531,5696,5488,5805,5683,5612,5970,5813,6970,6969,6702,6180,5084,5532,6097,6731,6480,0
Oman,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Pakistan,..,..,..,..,..,..,..,..,..,..,..,49001,50593,52235,53914,55625,57362,59118,60908,62752,64667,66492,68426,70421,72538,74646,76901,79198,81514,83966,86517,89002,91267,94047,96489,98897,100914,102952,105209,107839,110733,113562,116339,119094,121871,124703,127597,130542,133531,136547,139580,142626,145691,148789,151934,156259,159960,163717,167192,..
Panama,..,..,..,..,..,..,..,..,..,..,..,1524,1513,1521,1631,1689,1783,1849,1902,1944,1946,2071,2070,2095,2117,1981,1920,1936,1923,1972,1899,1925,2076,2094,1998,1773,1986,2039,2062,2075,1288,1486,1484,1483,1491,1474,1517,1511,1441,1394,1453,1511,1532,1622,1582,1517,1517,1482,1465,..
Paraguay,..,..,..,..,..,..,..,..,..,..,..,5324,5395,5749,5816,5541,5835,5961,6422,6578,7136,7198,7329,7674,7561,7649,7918,9158,9541,10048,10116,10599,9865,9556,10125,10911,11557,12046,11360,10403,10239,10350,9776,9880,9824,9852,9291,9302,9694,9813,10040,9707,9637,9269,9603,9672,12801,12853,12730,0
Peru,..,..,..,..,..,..,..,..,..,..,..,15244,15394,15582,15823,15402,15492,15666,15676,15566,15302,15441,16058,16218,16397,16332,15161,14196,13290,12653,12242,11764,11362,10902,10714,10615,10416,10391,15164,14763,15218,15343,15143,15088,14903,14882,14791,14847,15564,15965,15979,15586,15802,15732,16354,15182,15036,14417,14513,0
Philippines,..,..,..,..,..,..,..,..,..,..,..,28936,29795,30699,31637,32601,33592,34338,35100,35879,36677,37926,38464,40081,40581,41488,42073,41042,41311,41551,43430,41552,40581,39611,38643,37673,36536,35402,34266,33285,32318,31353,30400,29450,28510,27586,26999,26628,26214,26133,25713,25725,24895,25796,26228,26852,27589,28478,27890,0
Poland,3973,4028,4081,4134,4187,4238,4369,4668,4883,5083,4354,4980,5582,4850,4982,4970,4657,4470,4032,3624,3910,5195,4599,4871,5774,6142,9419,8368,7767,7339,6813,5771,6395,17805,17261,17602,17321,17300,17381,16667,16891,18047,18373,18551,19193,19821,20710,21072,23806,26452,30354,32942,35680,34829,34397,34911,33257,32561,33545,0
Portugal,3311,3312,3299,3276,3250,3509,3460,3387,3409,3471,3499,3293,3033,2996,2950,3014,2972,3118,3430,3618,3368,3471,3667,3889,3846,4329,4772,4945,5006,8801,11614,11674,11417,11460,11552,11944,11551,11988,11913,12254,12535,12476,12832,12835,12987,13180,13461,13997,13919,14532,13549,13759,12139,12388,12404,12668,12750,12855,13059,0
Qatar,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Romania,..,..,..,..,..,..,..,..,..,..,..,6503,6890,6420,5774,5902,5619,5501,5628,4504,4481,4341,4992,4992,4540,5595,5067,4468,4201,3052,2822,3333,3701,4882,5639,6332,11957,15600,13998,13208,12949,10003,11026,13332,14616,14972,14687,15342,18188,18153,18961,17129,18056,17351,17457,17031,17629,18000,17532,0
Russian Federation,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,57125,53900,50432,48342,32556,29043,24799,21313,17625,23319,18269,17684,16538,16382,16036,16377,15704,17627,14813,13609,13826,14174,14681,14185,12987,13179,13294,12222,12572,0
Saudi Arabia,..,..,..,..,..,..,..,..,..,..,..,7,7,7,5,5,10,7,13,14,7,21,38,38,38,14,41,41,41,57,57,57,38,28,60,49,20,18,21,21,21,21,24,24,25,25,25,28,28,28,28,31,31,32,32,35,35,35,36,..
Senegal,..,..,..,..,..,..,..,..,..,..,..,2619,2640,2661,2682,2707,2727,2747,2768,2788,2809,2832,2852,2873,2894,2915,2940,2962,2988,3011,3037,3059,3080,3104,3127,3215,3308,3400,3497,3599,3507,3576,3627,3552,3535,3492,3786,4024,4248,6177,6127,6316,6434,5159,5821,5524,5460,4448,4568,..
Serbia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5482,4751,3530,3530,3450,3450,3450,3450,3450,3450,3763,3763,3763,3763,3763,3763,3763,3765,3771,4949,4816,4798,4811,4842,4860,4876,4894,4931,4957,0
Singapore,..,..,..,..,..,..,..,..,..,..,..,47,33,20,10,23,31,49,36,39,24,26,26,25,26,0,147,147,147,147,147,423,423,423,423,423,423,423,423,423,423,817,817,855,827,825,824,841,905,919,1230,1263,1259,1472,1562,1585,1697,1656,1602,0
Slovak Republic,..,..,..,..,..,..,..,..,..,..,..,952,963,853,758,758,832,800,869,834,771,735,659,581,571,605,605,645,671,602,780,665,552,805,802,364,353,390,338,334,428,1498,1314,1570,1703,1842,1987,2440,2564,3302,3797,4033,4175,4046,4189,4949,4744,4805,5027,0
Slovenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,1252,1254,1249,1239,1234,1233,1232,1231,1232,1081,2139,2099,2007,2141,2187,2217,2136,2079,2303,2987,3108,3083,3001,3148,2700,2925,2979,2911,2854,0
South Africa,..,..,..,..,..,..,..,..,..,..,..,21807,22839,23661,25040,27342,26179,25733,25759,26179,26545,28675,29235,28898,31583,31137,31809,33265,34271,35392,36178,36850,37406,38082,38864,39648,40323,40965,41705,41897,37426,34954,32388,32445,32348,29912,29149,29853,33337,32832,31633,30999,30036,29044,28562,28312,28485,28547,28343,0
South Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,769,733,747,726,733,619,623,..
Spain,0,0,0,0,0,0,0,0,0,0,51,57,66,61,56,123,204,337,344,230,1249,1475,1612,1611,1889,2083,2109,2243,2365,16600,18743,17609,16104,16145,16268,16041,16184,16473,17166,17529,17983,18318,19086,20680,21113,21834,21767,22788,23433,26597,27055,29326,31183,29278,28844,28805,29420,30778,31785,0
Sri Lanka,..,..,..,..,..,..,..,..,..,..,..,12843,12843,13071,13164,14188,14377,13833,14159,14390,14454,14844,15176,15299,16434,16540,17078,17604,18016,18304,18262,18331,18963,18338,17150,17132,18471,19063,18781,19715,20835,20031,20126,20439,21068,21616,22147,22041,21548,22309,23409,23153,26224,22383,22838,22453,21776,21516,21703,..
Sudan,..,..,..,..,..,..,..,..,..,..,..,13083,13337,13613,13909,14223,14620,15029,15452,15881,16311,16754,17195,17979,18060,18467,18832,19178,19509,19831,20140,20422,20705,20990,23628,23852,25326,25895,26473,27024,27251,28067,28660,29312,29960,30611,32595,30071,29744,30595,31122,31296,31171,31373,31579,31786,31994,32209,32941,..
Suriname,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,208,211,129,121,122,118,121,124,127,129,132,132,141,150,145,144,126,128,128,..
Sweden,11957,12004,12098,12192,12426,12520,12286,12520,12520,13317,13646,13552,13552,16623,16600,16727,16506,15878,17415,18489,18943,19611,18945,21331,23259,24490,24551,24845,25303,24966,24747,25962,26931,28627,29722,32530,34498,35278,35146,33415,37052,34432,34287,35890,36585,39217,41449,43289,43199,45029,49759,45683,50209,49167,48396,49996,51856,53390,52627,0
Switzerland,1625,1592,1805,1805,1805,1887,1641,1600,1527,1379,1132,1083,1034,1132,935,935,935,935,1769,2060,2137,2641,2916,2341,2398,2674,2907,2931,2957,2985,4454,4812,4690,4730,4585,4764,5094,4688,4854,5108,5039,5275,5248,5461,5480,5747,6016,5997,6455,6611,7038,6569,7159,7548,6893,7221,7782,8039,7859,0
Syrian Arab Republic,..,..,..,..,..,..,..,..,..,..,..,3,6,16,4,10,2,9,4,14,13,14,11,11,12,12,12,12,11,13,10,21,23,21,21,21,21,21,21,22,22,23,23,23,24,25,25,26,27,28,28,28,27,26,25,24,23,23,23,..
Chinese Taipei,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,858,1018,1234,1714,1900,1975,2400,2878,3578,3633,3730,3832,3541,3789,3781,3866,3841,3816,3825,3587,3437,3581,..
Tajikistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Republic of Tanzania,..,..,..,..,..,..,..,..,..,..,..,29373,29421,29539,29724,29979,30048,30201,30425,30710,31049,31688,32354,33048,33770,34510,35221,35959,36718,37503,38306,39104,39926,40768,41518,42321,43082,43901,46508,49312,52344,53030,53757,54523,55325,56159,56994,57863,58772,59721,60850,61826,62832,63906,64997,66141,67187,68268,70329,..
Thailand,..,..,..,..,..,..,..,..,..,..,..,21535,21937,22547,24782,30327,31694,33004,31504,33579,31363,33720,36117,25676,28135,31697,33753,34995,36230,42574,43376,45305,47466,42038,40730,43781,46206,45023,41835,46128,46080,42604,46120,51367,55445,57859,58647,63228,68315,71002,77152,74492,81710,85596,90843,88901,109616,102621,105574,0
Togo,..,..,..,..,..,..,..,..,..,..,..,1760,1806,1851,1867,1909,1958,2003,2051,2106,2162,2223,2291,2359,2433,2508,2592,2728,2812,2899,3041,3142,3252,3352,3450,3571,3701,3795,3911,4403,4516,4629,4746,4862,4983,5136,5234,5414,5492,5916,6089,6262,6442,6595,6756,6890,7083,6817,7251,..
Trinidad and Tobago,..,..,..,..,..,..,..,..,..,..,..,171,180,107,160,146,168,158,152,148,134,128,129,130,129,192,272,310,266,250,300,266,266,252,278,189,194,206,204,213,92,84,196,171,174,177,136,113,112,112,57,56,56,55,55,54,54,53,52,..
Tunisia,..,..,..,..,..,..,..,..,..,..,..,1602,1624,1649,1677,1707,1747,1791,1839,1888,1937,1987,2038,2090,2132,2197,2266,2321,2371,2399,2454,2508,2559,2606,2741,2872,3003,3134,3265,3396,3527,3657,3788,3919,4053,4194,4339,4487,4641,5054,4068,4069,4085,4087,4078,4048,4047,4028,4043,0
Turkey,27573,27905,27873,27380,27648,27535,27873,28032,27990,27854,28009,27193,29295,30259,30833,31984,32946,33735,34933,36304,36020,36217,37169,37778,37187,36332,37011,37015,37166,37152,33793,33813,33796,33512,33475,33137,33031,32933,32740,31857,30461,29324,28142,27028,26006,24986,24153,23494,22454,21645,21039,16803,16773,17099,15631,14139,13371,12740,9751,0
Turkmenistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,41,41,41,41,42,42,42,42,49,49,49,49,49,49,43,47,47,47,47,48,48,..
Ukraine,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1462,1349,1234,1178,1161,1192,1194,1189,1206,1185,1171,1122,1115,1080,1101,1044,2639,6500,7321,6446,6641,6998,7082,7797,7990,8624,11773,12313,13290,0
United Arab Emirates,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,124,110,110,83,83,79,79,79,79,79,79,117,131,148,169,190,207,217,224,224,221,217,214,210,209,208,..
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,943,2163,2253,3426,3708,5195,5531,5688,5936,5912,5688,6047,6256,6847,7855,8895,11200,11889,12244,16904,18746,21992,22302,23766,28661,33348,38542,40685,42451,48257,0
United States,151776,148900,149549,152213,153737,153403,157307,153970,163049,165503,164490,164704,172851,175862,177134,172428,197123,211492,234424,247573,255559,257563,261271,277601,310802,305325,311950,343145,339594,323481,270405,277001,309355,276475,281453,292639,300586,290855,298482,284896,291393,258384,253658,272898,290038,303523,306579,311005,322534,312600,338823,347267,357379,385950,396980,378537,374073,374411,403998,0
Uruguay,..,..,..,..,..,..,..,..,..,..,..,1841,1903,1892,1903,1980,2020,2086,2125,2123,2184,2370,2244,2334,2439,2615,2838,2873,2605,2634,2550,2631,2713,2647,2514,2389,2271,2281,2093,2097,2070,2066,2065,2134,2179,2293,2542,2829,4861,4934,6163,6224,6498,6801,7970,9444,9830,10117,10069,0
Uzbekistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17,17,17,18,18,19,19,19,20,15,19,19,18,16,15,17,18,19,18,18,18,19,21,21,21,19,19,19,19,..
Bolivarian Republic of Venezuela,..,..,..,..,..,..,..,..,..,..,..,2222,2323,2169,2400,2302,2405,2168,2081,1948,2006,1877,2126,2139,2203,2528,2818,2976,2689,2852,2806,2907,2944,2804,2875,2974,3000,3127,3161,3091,3177,3260,3141,3052,3336,3534,3741,3942,4082,3923,3813,3827,3885,3852,3688,3546,3044,2708,2361,..
Viet Nam,..,..,..,..,..,..,..,..,..,..,..,36866,37736,38634,39556,40495,41446,42405,43367,44327,45273,46137,46951,47764,48641,49632,50795,52060,53338,54611,55650,56711,57867,60748,57094,56982,57105,58914,60714,61982,62930,63898,63889,66028,65452,65727,65596,65505,65395,65374,65314,65970,66645,67335,68033,63783,65335,63922,38144,..
Yemen,..,..,..,..,..,..,..,..,..,..,..,110,114,114,117,121,124,128,131,131,135,138,141,145,148,155,159,166,169,176,176,176,176,176,176,176,176,176,176,176,176,179,186,193,200,207,214,221,228,235,241,248,255,262,269,276,283,290,297,..
Zambia,..,..,..,..,..,..,..,..,..,..,..,7638,7901,8172,8453,8745,9043,9355,9672,10004,10351,10709,11087,11464,11855,12247,12748,13155,13553,13950,14339,14711,15077,15441,15823,16255,16529,16939,17379,17944,18465,19026,19577,20216,20887,21595,22365,23193,24048,25028,26140,27081,28197,29214,30241,31170,32172,33166,34210,..
Zimbabwe,..,..,..,..,..,..,..,..,..,..,..,14270,14559,14839,15123,15416,15701,16009,16346,16717,17122,17555,18028,18531,19051,19576,20086,20596,21103,21601,22086,22529,22948,23343,23759,24093,24381,24698,25175,25629,26117,26510,26909,27313,27724,28141,29459,29761,30225,30810,31308,31873,32502,33325,34199,35074,36362,37225,37849,..
Former Soviet Union (if no detail),..,..,..,..,..,..,..,..,..,..,..,94513,93419,91341,92763,89919,90138,88278,85106,85434,86309,88497,91122,87840,93201,94920,88279,94412,88692,81548,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Former Yugoslavia (if no detail),..,..,..,..,..,..,..,..,..,..,..,7633,4006,3844,3734,3962,4179,4165,3684,3452,3089,3850,4491,4272,4621,4574,4657,4057,4160,4319,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Other Africa,..,..,..,..,..,..,..,..,..,..,..,89531,91638,92472,93256,96530,98796,101661,104433,105971,109004,108236,111080,113409,115978,119121,122934,125997,129207,132995,152418,153454,147828,142799,166439,176260,176417,173758,176584,183436,172068,175963,177948,181356,187329,193985,198488,203749,209694,214840,214669,220190,225184,228979,229787,234082,242689,247843,255549,..
Other non-OECD Americas,..,..,..,..,..,..,..,..,..,..,..,2445,2019,1984,2130,1940,1992,1851,2068,2084,2004,1963,1981,1820,1774,1782,1901,1646,1522,1499,1940,1608,1762,1874,1866,1889,1996,2040,2096,2275,1913,1920,2046,1946,2113,1862,1871,1850,1588,1715,1843,1621,1444,1304,1355,1477,1410,1486,1481,..
Other non-OECD Asia,..,..,..,..,..,..,..,..,..,..,..,11086,11255,11461,11628,11787,11989,12126,12311,12570,12742,12812,12823,12934,12883,13034,13178,13364,13400,13479,14320,14423,14476,14654,14805,14933,17505,17665,17836,18166,13386,13378,13794,13832,13978,13956,14112,13979,13965,13935,13959,14129,14192,14337,14697,14681,14513,14702,15040,..
Memo: Greenland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19,19,17,19,19,17,19,19,22,25,20,21,20,20,21,..
Memo: Guyana,..,..,..,..,..,..,..,..,..,..,..,1396,1405,1418,1421,1437,1481,1300,1714,1782,1926,2367,2668,2273,2228,2207,2201,2111,1840,1795,1819,1089,1091,1093,1095,1094,1103,1118,1127,1136,1063,1097,1245,1165,1261,1069,1072,1071,1010,977,942,1104,937,812,759,806,740,736,561,..
Memo: Madagascar,..,..,..,..,..,..,..,..,..,..,..,4335,4451,4536,4653,4732,4841,4941,5100,5154,5319,5580,5711,5888,6043,6291,6477,6708,6935,7108,8565,8773,9036,9314,8068,10077,10129,10427,10728,11021,11358,11732,11530,12015,12374,12770,13171,13588,14092,14151,14502,14818,15163,15513,15912,16219,20218,20947,21278,..
