,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Angola,..,..,..,..,..,..,..,..,..,..,..,11043,11103,11185,11299,11445,11604,11798,12021,12248,12471,12681,12897,13112,13334,13563,13794,14044,14318,14625,14967,15315,15673,16038,16351,16545,16740,16894,17045,17201,17381,17589,17813,17993,18172,18345,18681,19019,19356,19697,20038,20381,20722,21060,21390,21710,22023,22351,22652,..
Argentina,..,..,..,..,..,..,..,..,..,..,..,6961,6805,7096,6874,6468,5820,6435,6263,6516,6956,6989,6440,7187,7401,7133,6606,7267,6704,5640,5968,6796,7017,7600,7366,8083,7898,8381,8820,9202,9290,8667,8159,9386,9499,9769,8154,8128,8479,8317,9746,10838,11038,11464,11746,12005,12712,14251,13940,0
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,70,70,69,67,65,64,63,62,62,61,57,42,46,56,59,39,63,40,40,40,40,40,40,40,159,442,591,622,444,0
Australia,19197,19197,18687,19048,18334,18774,18000,18381,17908,17850,16601,16685,17014,16544,17252,17336,17426,17430,17256,16627,16944,17952,18635,18411,17960,18478,15939,16179,16408,17151,17708,17593,15606,18661,18263,19112,21867,22751,22145,22129,22444,22658,24067,23326,22972,22986,23213,24020,25340,19208,21464,20222,20299,21303,21139,22469,22413,24130,22991,0
Austria,3627,3184,3233,3545,2823,2823,3233,3020,2806,2806,3141,3156,3027,3361,3287,3312,3388,3426,3946,4855,5333,5742,6438,6532,7577,8309,9185,9530,14367,12727,10811,11799,11535,12095,11668,12400,13257,12742,12464,14213,13387,14300,13539,14026,14191,16701,18980,20869,21805,22758,25053,24672,25924,26256,24946,25573,25588,25891,24425,0
Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,79,80,82,83,84,85,86,87,87,88,89,66,56,113,56,117,113,412,401,344,422,453,461,558,532,512,283,307,335,0
Bahrain,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Bangladesh,..,..,..,..,..,..,..,..,..,..,..,20895,21770,22448,22845,23587,24156,24801,25297,25834,26505,26807,27016,28263,27932,28493,29798,26952,29399,30297,31738,31740,32230,32471,33143,33288,32069,33155,33657,34392,35070,35738,36395,37028,37631,38196,38712,39192,39642,40086,40542,41008,41483,41960,42437,42913,43369,43838,44325,..
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1072,1160,1247,1335,1801,2048,2922,3188,3432,3660,4317,4815,5034,4979,5126,5810,6468,6507,6524,6632,6956,7186,7282,6998,6606,6295,6327,6852,7057,0
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,40,78,90,84,202,314,340,269,263,39,50,57,112,200,235,288,1178,2060,2088,2032,1713,1645,2227,2262,2188,2377,2554,2640,2906,2970,3691,4057,4845,5689,6710,8096,9096,11042,11686,12277,12343,11279,12256,13094,13202,12986,0
