TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Austria,1073,1184,1271,1393,1498,1606,1714,1825,2023,2167,2308,2495,2776,2912,2909,3118,3298,3449,3640,3758,3859,3038,2999,3067,3204,3402,3449,3582,3636,3791,3805,3971,3978,4082,3942,4158,4378,4500,4352,3150,3053,3053,3175,3179,3172,3355,3537,3718,3900,4082,4182,4091,4162,4193,3952,4095,4264,4270,4198,..
Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7711,7574,8852,6664,8046,9371,7319,7384,6052,3251,2891,2977,2383,2506,1753,1796,1836,2196,2304,2293,2398,2664,3197,3276,3514,3251,3524,3695,4023,..
Bahrain,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,61,65,68,65,68,72,90,54,72,86,97,101,104,112,137,126,122,122,130,122,133,148,155,155,151,158,176,173,162,187,173,205,220,212,220,..
Bangladesh,..,..,..,..,..,..,..,..,..,..,..,36,36,43,65,50,72,173,65,155,130,137,223,288,472,342,349,360,457,662,616,626,745,788,814,1105,1087,1040,1105,1339,1148,1411,1498,1606,1771,1886,2059,2081,3341,3949,1264,4118,4586,4504,5234,1393,1919,2062,2219,..
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17528,17752,16661,15930,13187,10332,9306,8896,8309,7394,6660,6210,5677,5191,4957,5087,5551,5134,5159,5267,5638,5620,5648,5800,5594,5483,5551,5659,5674,..
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,803,868,904,925,950,1004,1008,947,1346,3301,3910,3866,3683,2974,2844,2912,5342,5257,5660,5983,5760,6161,..
Benin,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,25,44,137,..
Plurinational State of Bolivia,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1447,1530,1390,1253,1523,1609,2174,2866,2920,3373,3049,3208,3175,2959,3154,3247,3248,3097,..
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,241,320,338,324,176,191,205,241,173,223,..
Botswana,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,7,11,11,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,299,317,400,421,270,263,486,180,331,623,659,659,691,605,637,644,691,673,684,..
Brazil,..,..,..,..,..,..,..,..,..,..,..,1397,1616,1901,2358,2700,3128,3755,4806,5738,7337,8978,9929,11592,13802,16117,18014,21150,22403,22885,23998,26348,27137,28818,30204,33023,35467,38876,41771,45616,46282,44622,46519,51419,53622,56466,59101,63130,66229,59760,63706,77256,83765,85630,96246,96736,101671,103449,109491,112115
Brunei Darussalam,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Bulgaria,..,..,..,..,..,..,..,..,..,..,..,2549,2862,2977,3539,3438,3596,3326,3557,4025,4014,3996,4100,4043,4309,3949,3964,4115,3938,3848,3578,3085,2452,1991,2020,1933,2160,1278,796,684,630,587,598,637,558,673,706,763,1015,900,806,1004,947,907,860,788,796,789,928,..
Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Cameroon,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,140,191,184,216,241,252,263,281,209,187,212,225,..
Canada,1980,2340,2700,3060,3402,3931,4255,4702,5029,5573,6041,6566,7146,7459,23364,23940,24552,25200,25895,26726,28238,28224,30218,29797,31291,31856,32648,27749,31435,32508,31093,34009,33667,33916,34474,33804,35359,35665,35132,35186,34571,34866,33710,36047,36576,36893,35453,32584,33995,34625,34261,34430,33718,36324,35078,36454,34477,35226,36983,..
Chile,..,..,..,..,..,..,..,..,..,..,..,630,644,644,734,428,65,65,68,72,68,72,72,65,76,83,104,108,108,583,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6034,8721,..
People's Republic of China,..,..,..,..,..,..,..,..,..,..,..,54882,60433,66143,66938,77659,80546,88589,101732,111805,119304,124848,135072,138168,140364,114264,115884,129456,136404,147780,153648,172728,188064,173156,191009,209671,164984,230317,224456,237726,191866,209660,218243,249534,276793,279479,297734,316426,319338,338364,351536,364644,364525,369673,364820,374339,393088,423043,456936,..
