TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11938,11275,6505,2981,2405,3532,2934,2599,2297,2416,2506,2786,2765,2862,3280,3431,3740,4356,4216,3632,3769,3899,4248,4352,5324,5677,5872,5957,5368,..
Australia,36162,38930,41058,47549,54025,61398,65516,71406,75794,83632,93733,70531,73469,83488,95760,97304,99158,103874,106225,112032,117047,122915,125183,123692,140245,155045,164552,172818,187798,204289,213062,214132,216605,223556,232535,234371,236480,242276,263351,272556,277297,303905,315731,259636,263030,266616,272376,284101,281531,283349,295571,293407,288058,286722,286139,275846,278248,269813,273146,..
Austria,24790,25747,26503,27644,29581,30730,31518,31882,33926,35910,37840,39118,40864,43636,45601,42826,45634,46861,47686,49961,51019,61812,61117,61664,60833,62150,62622,57089,59778,60962,64728,65790,64192,63565,66136,68148,65347,66539,68148,69757,74459,77555,77918,80438,88499,86953,90252,92775,89594,86373,93555,95623,96605,98148,97447,98474,101612,101693,103212,..
Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25729,28717,23947,17212,14454,8842,9256,6566,6703,3413,2624,6984,4561,9029,9248,10422,12845,10782,11682,6854,6329,7668,10897,10786,11380,11387,12661,13000,13406,..
Bahrain,..,..,..,..,..,..,..,..,..,..,..,619,626,612,648,702,749,770,792,810,828,828,792,828,15772,16247,16254,14958,16103,16589,17543,16614,23360,29430,27130,27857,28642,30024,30794,30337,30326,31633,32987,33455,33746,42991,43747,43736,44608,41666,41267,44399,44694,47448,49079,50364,50447,50001,52239,..
Bangladesh,..,..,..,..,..,..,..,..,..,..,..,1710,1710,2812,3064,3251,3330,3776,4417,4349,3175,3679,4666,5648,6055,6041,6635,6865,7344,9230,9778,9418,10915,12694,13792,15631,15041,16052,17413,19184,19422,21661,23508,25186,36666,40414,47873,53338,57884,63400,70542,76500,79970,86598,94478,107395,120168,129098,135162,..
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,81234,78934,66830,53914,42930,38221,38826,45248,47257,46735,46465,46415,43769,44669,46872,47884,50101,50814,52265,44395,47534,48971,48071,45788,46436,43535,43042,45209,46753,..
Belgium,29063,29815,32324,35240,39661,42242,44662,47394,53237,58817,62960,65963,73638,80723,84596,72720,80428,81889,84186,90025,86198,84704,82728,84553,89820,92034,93046,97168,103547,106538,109883,111892,115963,112518,120989,124578,124193,131116,134622,135479,143525,141206,140159,144094,145321,141923,144760,144482,140468,117634,137293,134140,134964,136033,136151,136714,137754,139366,140034,..
Benin,..,..,..,..,..,..,..,..,..,..,..,58,61,76,86,90,90,97,108,162,187,223,126,270,245,259,230,212,299,274,313,367,436,400,392,436,378,328,266,328,371,310,382,331,378,425,457,526,508,461,587,504,547,558,713,997,835,920,1035,..
Plurinational State of Bolivia,..,..,..,..,..,..,..,..,..,..,..,1742,1912,1933,2045,2167,2333,2650,2786,2869,3128,3298,3236,3146,3017,2765,2412,2113,2232,2448,2610,2736,2804,3262,3539,3715,3982,4158,4417,4597,4486,3409,3553,3744,4216,4478,4579,4871,5717,5980,5839,5620,6444,6775,7258,7603,7682,7746,7455,..
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21892,9252,2729,1674,2045,2135,3078,3352,4122,2394,4309,5706,7099,8064,8590,8680,8662,8647,14018,11275,13748,15174,15779,14936,14076,14396,14684,15638,15721,..
Botswana,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,79,94,94,104,83,1523,1706,1829,1811,1811,1904,1865,2038,2034,2160,2221,2279,2218,2592,2657,2819,3002,2927,2862,2912,4162,4284,4630,4367,4223,4802,5267,5076,4853,4972,4885,4795,4979,5267,5263,4975,3942,3359,..
