TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Argentina,..,..,..,..,..,..,..,..,..,..,..,213836,262692,287754,315374,333571,358960,374112,365970,379854,414065,419730,454941,519140,557399,564768,607136,614370,714180,773305,729137,754202,761342,826104,873372,926456,999208,1013184,1119470,1182955,1274414,1224808,1206748,1338956,1483954,1492681,1515754,1557365,1606846,1547599,1557402,1625184,1742041,1754476,1759774,1795989,1817048,1855743,1822352,1788251
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,150480,150480,63612,27565,29583,47880,37323,49029,51065,41615,46904,47774,36644,40750,45263,56053,57478,68810,75392,58995,54057,66367,80719,78080,82219,81035,77524,81585,85572,87457
Australia,0,15,49,95,95,143,143,143,207,8895,50391,75065,108141,141580,162135,175485,187619,236529,256104,290868,312629,365610,403223,421627,441066,470567,513983,530035,549429,564993,619236,579830,600490,624832,652856,701006,703694,708701,737510,768677,806999,850415,898203,856587,859874,794321,958093,1065160,1155205,1177305,1146263,1201276,1150297,1293036,1377713,1387014,1281427,1309752,1362870,1604863
Austria,53091,56185,59228,61692,63924,62319,66933,64059,68298,85118,102932,119037,128514,138339,150224,150024,170898,174001,180997,181009,173953,162661,157412,159721,177737,190643,185133,192899,183736,197159,219239,231795,227611,240044,246908,269581,286940,276551,283918,288875,275683,292169,290862,313997,321557,338530,316946,298651,315876,308583,340091,320983,306750,295610,269815,287697,298001,325584,309600,321061
Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,605447,605855,384664,311308,288744,298245,212063,202729,187328,206600,202154,303368,307881,311987,340715,339028,358415,321601,379389,343749,328708,348060,378725,378887,404047,401276,393503,382198,389369,485268
Bahrain,..,..,..,..,..,..,..,..,..,..,..,31793,39674,56245,69338,72879,78602,84779,90976,99654,101851,108526,117797,123488,126338,154227,167374,160046,169538,177219,185374,172786,202426,218869,224418,228867,237143,260331,273755,282634,286644,297939,308300,315243,310238,349730,371428,387675,417342,421024,442522,443759,446685,487210,510743,509243,503717,504363,510329,579832
Bangladesh,..,..,..,..,..,..,..,..,..,..,..,13037,13037,20921,25295,17648,25793,28908,30637,35078,43710,46444,60298,67095,77443,87951,99173,116523,137147,144985,156049,160708,177541,201498,215582,230015,246873,242670,262224,285897,309020,346036,364046,391596,422681,452583,516956,551798,589721,641631,696221,701242,736149,793797,814197,884880,967248,965948,963440,1125031
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,523778,455408,619053,588765,508261,479824,505859,575726,564603,583686,595783,603950,614866,640031,694327,708231,721093,725228,739341,613754,758147,717894,707467,714244,708161,662938,658871,674236,715217,683943
Belgium,2246,2238,2288,2219,2243,2646,4775,18200,44276,91206,143106,197333,248809,299060,350484,346301,365801,359890,356848,389899,373073,344090,286871,298112,307622,309110,277542,306059,302062,335679,342022,365696,378894,393836,404972,444259,494699,471631,522273,558305,559715,551811,560108,602983,610016,617188,630536,627115,621302,630786,701129,602982,601994,606472,529303,583911,595687,605380,624160,633510
Benin,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,1022,1090,68,1374,675,675
Plurinational State of Bolivia,..,..,..,..,..,..,..,..,..,..,..,2466,3264,3577,3646,5278,6529,7709,8613,9828,10175,11980,12294,12119,13821,14134,16287,19343,19412,24309,26253,27573,33303,34379,40388,44832,56735,68420,58523,63108,49621,44495,46759,55584,57604,67709,76896,84466,92155,100850,112401,123721,128730,134431,149894,150647,167416,168714,171044,157207
