TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Argentina,..,..,..,..,..,..,..,..,..,..,..,81728,83756,86759,87126,84509,88265,92101,90835,95763,93522,91396,90859,94189,93631,87107,93315,98868,103036,100289,93502,99249,101079,104327,106871,107363,117961,120732,127685,129318,128021,121259,114215,124069,137576,141832,150335,158117,162643,152072,162436,171180,172646,177374,173718,179586,177995,173925,171160,..
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19845,20690,10657,4919,2676,3368,2404,3157,3283,2932,3422,3459,2907,3275,3466,4130,4151,4798,5273,4269,4048,4673,5439,5243,5235,5101,4912,5166,5395,..
Australia,88453,91890,95014,100649,105988,111966,116623,123212,130181,136437,141637,143365,148422,157734,172550,179467,181887,195919,191091,197379,206730,207362,213667,201760,208045,220128,221505,231814,240802,254273,259697,261037,265056,268970,274914,285324,295802,303097,323746,328805,334645,340982,348963,347970,361328,365515,370839,381068,384311,390742,383364,381778,381762,375433,366194,372446,380576,383785,382879,388703
Austria,30403,30646,33387,36865,37678,36766,37043,37781,40472,42957,46470,48607,50407,53809,51135,49489,53948,51328,53666,55916,54355,51555,49778,49400,50970,52649,51641,52388,50340,50396,56240,60415,55560,55769,56183,59549,63266,62457,63071,61445,61820,66191,67632,72708,74006,74439,72145,69112,68597,62621,68337,66605,63438,64096,60353,61452,61665,64118,61468,62751
Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53484,52059,42439,37360,33278,32372,27073,26274,26256,25765,27306,25834,25515,27832,27405,29018,29396,26696,28811,24522,23532,26450,28895,29462,30794,30806,31409,30806,30947,..
Bahrain,..,..,..,..,..,..,..,..,..,..,..,2894,3301,4268,5050,5230,5684,6297,6677,7137,7240,7762,8140,8467,8662,9100,9776,9619,10124,10267,10680,10285,12180,12978,13282,13458,14093,14349,15420,15394,15843,16354,17197,17907,17789,20565,22355,22867,24616,24478,25552,25574,26101,28293,29695,30073,29639,29814,30188,..
Bangladesh,..,..,..,..,..,..,..,..,..,..,..,2880,2880,3415,3896,4410,4682,4803,5190,5700,6582,6374,6885,6434,6391,7705,8522,9401,9761,10496,11424,10752,11748,12495,13472,16485,16672,18741,18981,19675,20946,24844,26550,27795,29742,31960,35203,37310,40882,44051,49900,53727,57319,59836,63047,70895,72944,77917,81967,..
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99854,96242,86861,75377,64030,56958,57830,58209,56303,54087,52119,50910,50784,51375,54466,55014,57239,55727,58444,55318,59498,56382,57596,57549,56802,52618,53005,54020,57090,..
Belgium,87611,87712,95074,105716,103805,106248,102059,102299,112347,117125,120718,117980,127972,133082,130929,115557,124648,123417,128768,132333,125550,115083,108702,99940,101885,100992,101276,101340,103036,104379,106489,111080,109240,107026,111722,111314,116439,113473,116238,112401,114005,115383,107857,112569,111186,107677,105534,101500,103901,96871,103891,92808,92315,94069,87517,92848,91887,90478,91176,90604
Benin,..,..,..,..,..,..,..,..,..,..,..,305,400,410,421,463,280,335,382,382,395,300,364,365,379,473,409,360,356,281,256,200,209,209,215,222,907,1159,1215,1340,1425,1735,2020,2277,2434,2678,3246,3786,3836,4194,4583,4420,4208,4463,4970,5291,6529,6663,7212,..
Plurinational State of Bolivia,..,..,..,..,..,..,..,..,..,..,..,2164,2404,2534,2779,3251,3552,3775,4106,4070,4251,4591,4897,5003,4566,4424,4169,4345,4361,4742,5209,5277,5504,5776,6289,7048,6828,6934,7206,6770,7023,7120,7348,8064,8546,9132,10196,11039,11941,12687,13817,15022,15748,16912,18412,18637,19849,20584,21042,..
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23966,21441,15905,13343,3065,3280,4129,8415,10645,10402,13718,13501,14219,14546,15187,15858,17462,18415,20240,20204,20483,23401,21645,21510,19172,19306,22019,22328,22220,..
Botswana,..,..,..,..,..,..,..,..,..,..,..,82,115,177,363,464,698,808,918,1076,1137,1377,1436,1407,1402,1501,1727,1793,2152,2371,2807,2735,3298,3250,3080,3190,2916,3066,3682,3858,4034,3866,4027,3915,3970,4279,4087,4320,4393,4090,3271,3884,4986,5416,6986,7069,6980,7728,8068,..
Brazil,..,..,..,..,..,..,..,..,..,..,..,87483,95122,112086,121847,129628,143117,146985,160153,169700,167799,156339,156305,148369,148508,156328,174904,179535,182642,184774,184462,191378,195938,203156,210661,228000,246283,263340,270965,280073,292850,299569,299010,293298,310811,311624,315153,330760,349289,325512,372004,391040,424080,453806,477518,453677,418287,428047,406254,406450
Brunei Darussalam,..,..,..,..,..,..,..,..,..,..,..,398,386,685,1142,1408,1852,1986,1871,1964,2639,2593,2706,2906,2931,2946,2940,2994,3133,3110,3260,3384,3585,3865,4139,4503,4713,5088,4314,4190,4426,4311,4361,5249,4920,4823,7216,6844,7223,7434,6862,7013,6970,6854,6697,5978,6412,6710,7143,..
Bulgaria,..,..,..,..,..,..,..,..,..,..,..,63831,65873,67731,68779,73315,73199,75958,79020,82249,85032,81057,82703,81281,79378,82206,83164,84221,83156,82559,71464,57372,54058,54541,52108,52737,53136,51826,49489,43211,42138,44973,42437,46646,45759,46289,47446,50681,48164,41989,44045,48882,44140,38924,41320,43581,40541,42803,39893,..
Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1471,1530,1641,1882,1907,1963,2153,2211,2378,2378,2639,2945,3571,3650,4370,4622,4845,5054,5171,6098,8012,9287,10763,10548,..
Cameroon,..,..,..,..,..,..,..,..,..,..,..,734,770,798,795,1019,930,1333,1430,1542,1668,1755,1878,2044,2141,2378,2297,2279,2493,2725,2644,2433,2274,2417,2550,2459,2443,2569,2684,2402,2788,2707,2896,2983,3014,2936,3106,4118,4269,4810,5051,4855,4937,5349,5992,5945,6095,5957,6256,..
Canada,186915,191433,204379,217089,232370,249901,260811,276095,296555,309324,332072,340231,357909,375654,385344,377106,389221,401597,403136,417314,422262,402775,385667,379045,394376,393880,385751,396624,426681,442250,409258,403722,416542,413572,428838,438547,452765,467458,474200,483715,503456,496160,514445,534262,526181,538929,529557,560120,539879,512505,526204,538654,537236,546979,552221,549287,541938,553074,565232,571821
Chile,..,..,..,..,..,..,..,..,..,..,..,21036,20643,20007,19710,17112,17892,18681,19391,20630,21405,21301,18387,19013,20216,19631,20227,20510,24809,30009,29435,28269,29209,30973,34001,37075,42915,49430,50090,52635,48624,46674,47427,48617,53349,54435,55677,63075,66533,64213,68605,75317,77236,81862,75469,81092,85246,86143,85716,94206
People's Republic of China,..,..,..,..,..,..,..,..,..,..,..,780185,831391,864162,881732,1029319,1071332,1212912,1371804,1396172,1363830,1356639,1413444,1484994,1619386,1626027,1721418,1842603,1985478,2055352,2088854,2200885,2295775,2500730,2599503,2900265,2871981,2925749,3020717,2920897,3099685,3255951,3511728,4068095,4741831,5407518,5961808,6473211,6669112,7131512,7830969,8569653,8818413,9188381,9116341,9093304,9054476,9245582,9528214,9809198
Colombia,..,..,..,..,..,..,..,..,..,..,..,26679,27327,28666,30820,28297,30023,31031,33015,33376,34805,34936,35496,37366,37800,39473,40162,42614,43088,44831,45814,47535,49449,52135,52183,54452,54352,58917,59342,52005,54161,54621,52500,51826,51958,52968,53051,54103,54852,58042,59550,64172,63979,71582,73228,73980,76992,69473,73082,..
Republic of the Congo,..,..,..,..,..,..,..,..,..,..,..,573,606,599,604,606,743,635,679,654,692,724,800,805,728,760,687,722,674,661,639,683,613,594,388,537,423,319,327,374,498,635,504,752,781,844,1022,1097,1372,1569,1833,2094,2229,2537,2640,3165,2978,2847,2848,..
Costa Rica,..,..,..,..,..,..,..,..,..,..,..,1273,1424,1629,1577,1738,1802,2281,2444,2431,2158,2018,1685,1730,1845,1949,2057,2204,2309,2628,2604,2760,3847,3811,4447,4439,4171,4092,4552,4565,4499,4913,5019,5326,5323,5453,5988,6679,6681,6368,6604,6883,6903,7211,7250,6918,7460,7557,7635,..
Côte d'Ivoire,..,..,..,..,..,..,..,..,..,..,..,2402,2653,2711,2809,3038,3484,3415,3983,3654,3391,2987,2963,3739,3337,3047,3077,3049,3061,2928,2705,2791,2772,2957,3094,3262,3875,4787,4829,6689,6330,6258,6378,5151,5418,5813,5628,5548,6361,5927,6219,5988,7885,8458,8959,9556,9322,10375,9910,..
