TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,54263,55457,57587,58458,62155,65715,67111,69883,72152,75453,76654,75247,79311,81561,86935,92858,92941,100766,92870,97166,106645,107750,112616,105603,108310,119366,117733,125783,131070,140366,140835,145627,148720,149654,151969,156419,163417,169611,187716,189407,190105,195210,196901,195241,203908,208091,211438,213041,210561,216556,201960,193393,188518,176004,167320,172871,178888,176672,170213,..
Austria,19817,19147,20072,21849,20865,19281,18369,17899,17735,17686,18231,16290,15268,15327,15942,13852,14814,12436,12875,13955,14150,15097,14402,15220,17335,17411,15350,15259,14328,14360,16519,17478,13517,12206,12482,14312,13934,14744,13086,13230,15002,15713,15683,16808,16854,16358,16255,15786,15085,11364,14139,14779,13677,14235,13051,12579,11630,11877,10399,..
Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,352,264,47,12,14,11,11,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Bahrain,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Bangladesh,..,..,..,..,..,..,..,..,..,..,..,370,370,481,428,495,489,511,495,368,494,507,614,348,140,194,293,461,475,495,1115,356,335,125,117,1271,697,1279,368,182,1307,1386,1439,1384,1386,1904,1867,2449,2540,3066,3203,2888,3573,3916,3666,8994,6347,7858,8723,..
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9591,9432,8319,7368,5978,5550,5546,4674,4487,3722,3827,3245,2893,2723,2484,2435,2375,2183,2008,1944,2136,2258,2926,3157,3311,2928,3168,3254,3270,..
Belgium,68977,67557,71221,79000,71285,68008,63304,58314,61348,57846,51222,44224,46176,47429,51484,38647,40395,40034,41139,42041,41871,41305,40799,37199,41411,39219,35357,35442,37073,38630,40410,39318,35682,33699,36487,34746,33106,31534,31152,27611,30254,29180,24433,23782,22011,20642,19287,17402,17903,10704,14003,13041,12063,13116,12398,12418,11763,11532,11421,..
Benin,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,103,195,185,0,..
Plurinational State of Bolivia,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,132,602,740,430,258,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,13,16,16,25,20,..
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17667,15718,13473,11677,1257,1473,2080,6513,8308,8091,10053,9846,10810,11157,11279,11956,13366,14045,15298,15273,15552,18351,17064,17011,14625,14510,16663,16899,16982,..
Botswana,..,..,..,..,..,..,..,..,..,..,..,0,18,45,74,158,500,656,701,792,828,900,971,949,938,1040,1165,1188,1406,1516,1819,1784,2031,2009,2034,2036,1737,1779,2279,2270,2324,2016,2076,1880,2007,2275,1922,1976,1779,1663,703,1174,2147,2368,3877,3882,3781,4445,4639,..
Brazil,..,..,..,..,..,..,..,..,..,..,..,6049,6410,6159,6219,6940,7761,9875,12440,13637,15058,17041,19206,20441,24872,26383,28800,30221,30695,29779,27673,32227,31103,31862,31431,32777,33897,36470,35543,39021,46456,45539,44780,46084,48829,45590,45423,47929,48454,39548,54147,56603,59445,63955,67169,68024,61360,64633,63885,..
Brunei Darussalam,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Bulgaria,..,..,..,..,..,..,..,..,..,..,..,34038,34982,35386,34634,35936,33149,33534,35180,36764,38804,39054,41095,40703,40864,43328,42953,44085,41590,41574,34630,30489,30469,32299,30566,30247,30442,32894,30951,26000,26026,29232,26889,30089,29304,28442,28796,32137,30873,26185,28357,33372,28410,24275,25916,26906,23431,25195,22099,..
Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,51,58,64,207,971,2358,2728,4049,3222,..
Cameroon,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
