TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7369,8658,8723,4885,3492,2308,3902,8752,6350,5825,5609,5317,5386,5764,5918,6203,6152,6361,6451,6181,6293,6887,7164,7301,6926,6757,6674,6867,6586,..
Australia,24379,27162,28984,31640,34510,37246,40399,44024,46976,51646,55188,59861,64624,67226,71093,79643,83592,91145,95501,101542,104292,109796,115225,116410,119754,117274,124085,128009,130187,131854,138751,141296,141545,146311,146023,151787,155531,161194,166262,170348,175550,178549,184500,192449,199879,197438,200423,206572,209117,216212,218362,225133,221299,217937,208912,213383,213080,213242,213322,..
Austria,6221,6818,7711,8467,9367,10188,10944,11963,13057,14335,15890,17586,19807,21852,23047,24433,26561,27605,29354,30182,31565,26748,26399,27011,28217,29959,30359,39730,40738,41497,42761,45371,45979,47308,46724,48928,51116,49982,50206,52654,53863,58352,60228,62190,61628,59104,59190,59342,59821,62040,63567,62185,63183,63537,60137,62145,64371,64731,63761,..
Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3834,3960,4086,6660,7207,14670,18954,21251,26536,32929,35647,36619,40100,43484,42854,44111,49662,30002,26798,21049,20718,21301,23404,24178,26251,28577,29059,25685,24117,..
Bahrain,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,5123,5576,5778,5576,5954,6163,6530,4892,6523,7801,8384,9086,9544,9623,10742,11128,11095,11743,12690,13464,14166,15512,18353,18684,18925,19458,21478,21136,22712,23134,25146,27454,27515,30161,29995,..
Bangladesh,..,..,..,..,..,..,..,..,..,..,..,472,472,490,644,558,486,529,756,821,821,1069,1292,1667,1958,2365,2675,3067,3326,3949,4403,5159,7052,8323,9122,10094,12748,13309,14274,15995,19807,22270,24386,26129,28836,30704,33527,33876,32594,35399,40010,42642,48103,51638,59486,60527,70988,82817,90855,..
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10539,12276,13294,13620,13883,14730,15353,16169,16871,16848,16829,16862,17473,18319,18301,18235,17765,18414,19494,20045,21200,21992,22788,22990,23029,23764,24080,23731,23648,..
Belgium,5414,6170,7211,8129,9072,10354,11524,12575,14119,15876,17712,19584,22014,27371,29999,33394,36616,39780,43124,45677,47203,48442,49356,51124,52726,55807,57499,60808,61391,63770,66290,71629,72882,75924,76889,79592,83624,82559,84197,84535,85457,87826,93316,93694,95555,93625,81799,78682,71935,72756,72994,69325,71453,71316,68372,67904,67985,66843,66387,..
Benin,..,..,..,..,..,..,..,..,..,..,..,18,22,25,29,29,32,22,299,148,169,198,112,241,220,241,248,277,292,295,295,295,292,356,396,428,302,371,378,562,580,623,850,742,810,1015,983,1033,1166,1217,1253,1289,1346,1361,1375,1408,1379,1354,1354,..
Plurinational State of Bolivia,..,..,..,..,..,..,..,..,..,..,..,680,684,702,756,806,860,929,1040,1177,1292,1426,1433,1526,1678,1814,2005,2218,2398,2513,2599,2718,2887,3085,3424,3730,3899,4216,4504,4756,5004,5044,5206,5353,5580,5926,6278,6599,6754,7067,7744,8363,8809,9364,10102,10771,11365,11612,11952,..
