"MODEL","SCENARIO","REGION","VARIABLE","UNIT","1960","1965","1970","1975","1980","1985","1990","1995","2000","2005","2010","2015",
"IEA","Reference","XE25","Energy_Intensity","TJ/billion USD 2015",6690.00356183534,6867.12049470336,7781.00435188012,7413.01051748838,7154.71926776355,6715.88018059531,6070.26506589129,5716.07862368553,5122.17449555682,4944.80172097932,4569.38576835384,3956.96956455189,
"IEA","Reference","XER","Energy_Intensity","TJ/billion USD 2015",2225.93190542819,2524.92286115007,2875.84504454854,8550.1058457072,8902.38825096108,8598.69077872572,8221.55493328941,6583.3327956122,5602.60536398468,5323.40764463324,4947.49695025527,4253.04672355632,
"IEA","Reference","TUR","Energy_Intensity","TJ/billion USD 2015",6503.12363794857,6659.14325195762,6561.93098700628,7274.1055775599,7606.54497140546,7500.41913439636,7486.42146979072,7568.13095485441,7757.41626794258,6760.56714409305,7255.39200419624,6272.63052605869,
"IEA","Reference","XOC","Energy_Intensity","TJ/billion USD 2015",6451.31801797889,6551.12353733043,6468.22950117748,6626.87211518589,6670.52992215375,6162.64617323717,6365.49377975733,5898.34496144363,5713.88277350306,5015.88638283804,4883.25334924949,4325.6122377377,
"IEA","Reference","CHN","Energy_Intensity","TJ/billion USD 2015",,,,58939.1247796052,51968.4633287336,37278.7711777914,32195.014338136,22240.9489378201,16256.3899689288,16209.5819665055,13671.4427496264,11114.7284925633,
"IEA","Reference","IND","Energy_Intensity","TJ/billion USD 2015",,,,30975.6067125645,30911.4379567432,29681.2392377454,27514.2893990199,26075.5930611012,23060.7435074263,19693.9030630894,19102.3738524644,16609.7951597032,
"IEA","Reference","JPN","Energy_Intensity","TJ/billion USD 2015",6394.82664147378,6809.02677956684,7509.43517599183,7151.85879954979,6517.87742818799,5601.38838709677,5327.19857754882,5563.04872035974,5533.61296954269,5259.22253036014,5024.34465624372,4124.70315390434,
"IEA","Reference","XSE","Energy_Intensity","TJ/billion USD 2015",,,,15274.4791666667,14685.9629755435,13155.5482124203,12682.4263841532,12023.1490527513,12256.644257943,11343.4197857542,10244.4415865423,9253.79307344239,
"IEA","Reference","XSA","Energy_Intensity","TJ/billion USD 2015",,,,16490.9519114909,15221.1136117363,14836.542870243,15094.4182636925,14725.6739838077,14576.9843459072,13733.7394256304,12734.0197820032,11545.4614351166,
"IEA","Reference","CAN","Energy_Intensity","TJ/billion USD 2015",11501.8761726079,11576.1763262636,12619.2265723888,12347.1194512564,11871.4332136896,10469.3057121018,10074.7591171044,10247.0442963134,9126.0683503622,8679.49775282599,7801.42049717401,7601.30162992849,
"IEA","Reference","BRA","Energy_Intensity","TJ/billion USD 2015",,,,6779.96053964699,6136.24535076769,6607.16611186304,6404.11120196239,6326.61873875225,6622.61930850795,6602.61681013694,6552.06000645862,6885.87012612293,
"IEA","Reference","XLM","Energy_Intensity","TJ/billion USD 2015",,,,6200.08010953158,6644.65559178794,6834.72084420612,7074.323040132,6627.21995032711,6610.31930863492,6692.56797482476,6182.39483502506,5821.58069024944,
"IEA","Reference","CIS","Energy_Intensity","TJ/billion USD 2015",,,,34634.3272285636,33469.3832265873,33833.4341249903,37186.6249413036,43013.4233272863,37159.327631967,28749.3275744293,24647.5719601683,21122.7928191517,
"IEA","Reference","XME","Energy_Intensity","TJ/billion USD 2015",,,,3919.89917494249,5976.12163274909,9812.75344579852,10289.3179533075,12207.9574468085,11513.764537789,12362.3414186427,12994.37103957,12835.1430603922,
"IEA","Reference","XNF","Energy_Intensity","TJ/billion USD 2015",,,,7363.36472660749,8363.54550973708,10773.3399721171,11552.3368729915,11905.971241331,10938.9315320847,11817.2946980061,11209.5806419883,11601.875177009,
"IEA","Reference","XAF","Energy_Intensity","TJ/billion USD 2015",,,,17353.6577440188,17989.5973094649,21202.0285392011,20909.7261126673,22925.7738291433,21628.2985979538,18943.3015501496,16768.4985959666,15026.9676221423,
