"MODEL","SCENARIO","REGION","VARIABLE","UNIT","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100",
"AIM/Hub V2.2","Baseline","XE25","Electricity_Rate_Total","EJ/yr/EJ/yr",0.196777623292713,0.198305516498549,0.196056789285995,0.193647164420575,0.193331023202452,0.196166769284898,0.200597809757664,0.208201305707691,0.218247202577574,0.233013649461435,0.230319449555754,0.22998305768455,0.235483130962636,0.248647761596592,0.265202369282265,0.283959274400809,0.316064322275525,0.344141588325824,0.360930174312814,
"AIM/Hub V2.2","Baseline","XER","Electricity_Rate_Total","EJ/yr/EJ/yr",0.261774090619017,0.264483215627894,0.266795743878827,0.267429862919471,0.269148163355548,0.274188838167258,0.282053207949646,0.296065181066734,0.318289089869688,0.344869309153461,0.351956830608935,0.361874539581799,0.375594406581157,0.392587966445716,0.409491544888174,0.425598183617628,0.442123741092813,0.452836191745955,0.460063801158097,
"AIM/Hub V2.2","Baseline","TUR","Electricity_Rate_Total","EJ/yr/EJ/yr",0.203496216343052,0.21934303787821,0.233920756948551,0.244049876201735,0.253043904727381,0.260913115772182,0.268036754140513,0.276359321058688,0.283839648695473,0.284879926912033,0.275408467685839,0.268341472024475,0.268090305897731,0.277033304242561,0.289662477051264,0.304435483870968,0.33659408856632,0.363881232773741,0.376359217090956,
"AIM/Hub V2.2","Baseline","XOC","Electricity_Rate_Total","EJ/yr/EJ/yr",0.238393167485973,0.232980579137109,0.238910914945349,0.243711045264126,0.251660616359002,0.25945806356409,0.270830381181805,0.290240224803811,0.317574580640841,0.350083172752277,0.356020774042095,0.368715083798883,0.38607346451623,0.402527443273462,0.417335774991783,0.429063900466953,0.4375274208712,0.443070509505227,0.445516743558359,
"AIM/Hub V2.2","Baseline","CHN","Electricity_Rate_Total","EJ/yr/EJ/yr",0.161442353666033,0.188918395496261,0.216385634512208,0.244679880346899,0.271597005752898,0.297782431967974,0.316522188252032,0.338574238139312,0.341561804651721,0.332311002924241,0.310122149215062,0.301503587518412,0.310411078239419,0.325328125758614,0.340162779913409,0.352997600348326,0.354413807844395,0.353825396394194,0.355507750076708,
"AIM/Hub V2.2","Baseline","IND","Electricity_Rate_Total","EJ/yr/EJ/yr",0.125009795854394,0.146405155650393,0.167793984570316,0.187601821586003,0.206864947202644,0.229416116311397,0.25203004834179,0.276261042881538,0.303721707890711,0.327850005292946,0.345107130345643,0.364491634083464,0.386555640267415,0.409409500329798,0.432147683727932,0.453286151711752,0.473297788654838,0.490923278767247,0.504607552449972,
"AIM/Hub V2.2","Baseline","JPN","Electricity_Rate_Total","EJ/yr/EJ/yr",0.260287299984522,0.245929601488603,0.238284189156575,0.233181570604584,0.233517739107894,0.234895356969925,0.236038551013626,0.238974581794482,0.242230287892388,0.24531543384128,0.232860644149622,0.226358312058868,0.229075599181809,0.243019295562691,0.262022497357693,0.28509144627613,0.333222991484896,0.380219993433032,0.408121726039603,
"AIM/Hub V2.2","Baseline","XSE","Electricity_Rate_Total","EJ/yr/EJ/yr",0.154065044821347,0.162488132385367,0.170281380579013,0.175086553720446,0.176363649602792,0.176346588029305,0.180964477933262,0.187613910118171,0.195504038248299,0.20407992828947,0.197236755847465,0.193987314866772,0.197989959795864,0.208989684269051,0.222891404612159,0.238295695562323,0.263647483506325,0.282357536127805,0.288869235490889,
"AIM/Hub V2.2","Baseline","XSA","Electricity_Rate_Total","EJ/yr/EJ/yr",0.0923599180310902,0.10022677495009,0.108209432892595,0.115659128041964,0.12502994011976,0.134085549685084,0.143148427462153,0.152496448676803,0.162718110709988,0.171023952023699,0.172823188672306,0.175329730210627,0.178357018010487,0.184453057708872,0.193890990317041,0.203467597435552,0.214745957481737,0.225034873225568,0.236307578846016,
"AIM/Hub V2.2","Baseline","CAN","Electricity_Rate_Total","EJ/yr/EJ/yr",0.207618589459559,0.212693705758561,0.229977965772739,0.238942991574571,0.242168674698795,0.245135365914913,0.247038377986966,0.251957002134911,0.259706114073178,0.271950152841775,0.272736901567575,0.277920499913209,0.285478107375038,0.295221123135067,0.306181887320779,0.316856141327511,0.326772449562657,0.333596270429326,0.337654474874461,
